_PARTIES	Democrat	Republican	Total
WOODRUFF__AR	1340	1227	2685
YELL__AR	1722	4042	5974
ALAMEDA__CA	469684	108182	595642
ALPINE__CA	389	236	653
AMADOR__CA	6830	10281	17649
BUTTE__CA	42669	44479	90752
CALAVERAS__CA	8670	12365	21786
COLUSA__CA	2314	3601	6034
CONTRA_COSTA__CA	290824	136517	438226
DEL_NORTE__CA	3791	4614	8770
EL_DORADO__CA	35166	50973	88774
FRESNO__CA	129129	124490	258827
GLENN__CA	3301	5632	9211
HUMBOLDT__CA	34457	18825	57470
IMPERIAL__CA	25136	12777	38565
INYO__CA	3422	4340	8036
KERN__CA	89495	126618	221472
KINGS__CA	12979	17671	31418
LAKE__CA	13163	9200	23391
LASSEN__CA	3053	7296	10683
LOS_ANGELES__CA	2216903	885333	3181067
MADERA__CA	16018	22852	39866
MARIN__CA	99896	30880	134516
MARIPOSA__CA	3498	5140	9000
MENDOCINO__CA	23193	9658	35017
MERCED__CA	33005	27581	62057
MODOC__CA	1111	2777	3986
MONO__CA	2733	2285	5181
MONTEREY__CA	82920	37390	123518
NAPA__CA	35870	19526	56968
NEVADA__CA	24663	24986	51676
ORANGE__CA	512440	582332	1122664
PLACER__CA	66818	99921	171322
PLUMAS__CA	4026	5721	10047
RIVERSIDE__CA	329063	318127	661907
SACRAMENTO__CA	300503	202514	516809
SAN_BENITO__CA	11276	7343	19044
SAN_BERNARDINO__CA	305109	262358	581517
SAN_DIEGO__CA	626957	536726	1192282
SAN_FRANCISCO__CA	301723	47076	361209
SAN_JOAQUIN__CA	114121	86071	204697
SAN_LUIS_OBISPO__CA	61258	59967	125638
SAN_MATEO__CA	206085	72756	285720
SANTA_BARBARA__CA	94129	64606	163320
SANTA_CLARA__CA	450818	174843	643091
SANTA_CRUZ__CA	90805	24047	120095
SHASTA__CA	25819	48067	76335
SIERRA__CA	653	1056	1795
SISKIYOU__CA	8046	11077	19910
SOLANO__CA	96783	52092	152444
SONOMA__CA	153942	54784	216508
STANISLAUS__CA	77724	73459	155369
SUTTER__CA	12192	18122	31026
TEHAMA__CA	7934	14235	22977
TRINITY__CA	2674	2716	5674
TULARE__CA	41752	56956	101100
TUOLUMNE__CA	9998	13880	24687
VENTURA__CA	170929	147958	326974
YOLO__CA	48715	23368	74475
YUBA__CA	7711	11275	19700
ADAMS__CO	100649	70972	176230
ALAMOSA__CO	3811	2705	6715
ARAPAHOE__CO	153905	125588	285516
ARCHULETA__CO	2679	3872	6734
BACA__CO	467	1559	2106
BENT__CO	815	1075	1942
BOULDER__CO	125091	49981	179499
BROOMFIELD__CO	16966	15008	32777
CHAFFEE__CO	5086	5070	10462
CHEYENNE__CO	172	889	1093
CLEAR_CREEK__CO	3119	2430	5743
CONEJOS__CO	2213	1835	4101
COSTILLA__CO	1340	446	1837
CROWLEY__CO	535	924	1502
CUSTER__CO	868	1788	2715
DELTA__CO	4622	10915	15925
DENVER__CO	222018	73111	301694
DOLORES__CO	334	859	1245
DOUGLAS__CO	60991	104204	167781
EAGLE__CO	12792	9411	22668
ELBERT__CO	3603	10266	14178
EL_PASO__CO	111819	170952	290175
FREMONT__CO	6704	13174	20416
GARFIELD__CO	11305	12535	24408
GILPIN__CO	1892	1346	3338
GRAND__CO	3684	4253	8187
GUNNISON__CO	5044	3341	8667
HINSDALE__CO	229	353	600
HUERFANO__CO	1953	1646	3714
JACKSON__CO	216	600	848
JEFFERSON__CO	159296	144197	311052
KIOWA__CO	118	677	821
KIT_CARSON__CO	838	2785	3702
LAKE__CO	1839	1098	3040
LA_PLATA__CO	15489	12794	29184
LARIMER__CO	92747	82376	180180
LAS_ANIMAS__CO	3445	3263	6862
LINCOLN__CO	552	1687	2287
LOGAN__CO	2712	6179	9124
MESA__CO	23846	47472	72947
MINERAL__CO	291	344	650
MOFFAT__CO	1330	4695	6168
MONTEZUMA__CO	4542	7401	12318
MONTROSE__CO	6138	13552	20130
MORGAN__CO	3912	6602	10777
OTERO__CO	3647	4382	8192
OURAY__CO	1646	1481	3202
PARK__CO	3862	5236	9366
PHILLIPS__CO	588	1637	2265
PITKIN__CO	6849	3024	10075
PROWERS__CO	1519	3230	4863
PUEBLO__CO	42551	31894	76194
RIO_BLANCO__CO	568	2724	3369
RIO_GRANDE__CO	2478	2918	5533
ROUTT__CO	7547	5469	13317
SAGUACHE__CO	1864	964	2930
SAN_JUAN__CO	266	212	506
SAN_MIGUEL__CO	2992	1154	4256
SEDGWICK__CO	419	881	1338
SUMMIT__CO	9347	5571	15312
TELLER__CO	4333	8702	13407
WASHINGTON__CO	468	2076	2591
WELD__CO	49050	63775	115866
YUMA__CO	987	3490	4577
FAIRFIELD__CT	217294	175168	396130
HARTFORD__CT	244639	143238	392240
LITCHFIELD__CT	43856	47201	92427
MIDDLESEX__CT	47855	34591	83538
NEW_HAVEN__CT	218972	138357	361026
NEW_LONDON__CT	67144	46119	115102
TOLLAND__CT	25957	19768	46588
WINDHAM__CT	25957	19768	46494
KENT__DE	35527	32135	68696
NEW_CASTLE__DE	167082	81230	252012
SUSSEX__DE	39975	52119	93229
DISTRICT_OF_COLUMBIA__DC	267070	21381	293764
ALACHUA__FL	69699	48797	120418
BAKER__FL	2311	8975	11368
BAY__FL	22051	56876	79861
BRADFORD__FL	3325	8219	11635
BREVARD__FL	122993	159300	285559
BROWARD__FL	508312	244101	756422
CALHOUN__FL	1664	4366	6152
CHARLOTTE__FL	35906	47996	84682
CITRUS__FL	28460	44662	73935
CLAY__FL	25759	70022	96589
COLLIER__FL	51698	96520	149112
COLUMBIA__FL	8462	18429	27163
DESOTO__FL	4174	5587	9865
DIXIE__FL	1798	5052	6941
DUVAL__FL	196737	211615	411848
ESCAMBIA__FL	58185	88711	148502
FLAGLER__FL	23207	26969	50595
FRANKLIN__FL	1845	3570	5474
GADSDEN__FL	15770	6630	22499
GILCHRIST__FL	1885	5917	7909
GLADES__FL	1603	2344	3989
GULF__FL	2014	4995	7108
HAMILTON__FL	2228	3138	5407
HARDEE__FL	2463	4696	7226
HENDRY__FL	4751	5355	10185
HERNANDO__FL	37830	44938	83667
HIGHLANDS__FL	16148	25915	42444
HILLSBOROUGH__FL	286467	250186	542102
HOLMES__FL	1264	6919	8274
INDIAN_RIVER__FL	27492	43450	71464
JACKSON__FL	7342	13418	20941
JEFFERSON__FL	3945	3808	7808
LAFAYETTE__FL	687	2668	3399
LAKE__FL	61799	87643	150811
LEE__FL	110157	154163	266166
LEON__FL	90881	55805	148353
LEVY__FL	6119	12054	18399
LIBERTY__FL	942	2301	3284
MADISON__FL	4176	4474	8715
MANATEE__FL	66503	85627	153491
MARION__FL	66831	93043	161385
MARTIN__FL	30107	48183	78873
MIAMI_DADE__FL	541440	332981	878314
MONROE__FL	19404	19234	39057
NASSAU__FL	10251	29929	40528
OKALOOSA__FL	23421	70168	94798
OKEECHOBEE__FL	4856	7328	12324
ORANGE__FL	273665	188589	466359
OSCEOLA__FL	67239	40592	108698
PALM_BEACH__FL	349651	247398	600721
PASCO__FL	98263	112427	213573
PINELLAS__FL	239104	213258	457702
POLK__FL	114622	131577	248683
PUTNAM__FL	11667	19326	31324
ST__JOHNS__FL	35190	78513	114795
ST__LUCIE__FL	65869	56202	123027
SANTA_ROSA__FL	17768	58186	76846
SARASOTA__FL	95119	110504	207480
SEMINOLE__FL	96445	109943	208620
SUMTER__FL	19524	40646	60479
SUWANNEE__FL	4751	12672	17629
TAYLOR__FL	2764	6249	9120
UNION__FL	1339	3980	5393
VOLUSIA__FL	114748	117490	234536
WAKULLA__FL	5175	9290	14660
WALTON__FL	6671	21490	28494
WASHINGTON__FL	2820	8038	10999
APPLING__GA	1758	5233	7086
ATKINSON__GA	930	1938	2902
BACON__GA	791	3093	3931
BAKER__GA	794	785	1589
BALDWIN__GA	8483	7589	16238
BANKS__GA	780	5354	6195
BARROW__GA	6028	18725	25199
BARTOW__GA	8396	26876	35802
BEN_HILL__GA	2512	3396	5956
BERRIEN__GA	1273	4843	6201
BIBB__GA	38585	25623	64718
BLECKLEY__GA	1269	3587	4907
BRANTLEY__GA	939	4964	6002
BROOKS__GA	3138	3554	6742
BRYAN__GA	3707	9560	13453
BULLOCH__GA	9593	14174	24085
BURKE__GA	5405	4301	9779
BUTTS__GA	2968	6306	9381
CALHOUN__GA	1298	883	2188
CAMDEN__GA	6377	11343	17983
CANDLER__GA	1157	2344	3528
CARROLL__GA	12688	28280	41549
CATOOSA__GA	5365	17858	23678
CHARLTON__GA	1197	2527	3764
CHATHAM__GA	60246	47204	108628
CHATTAHOOCHEE__GA	729	735	1490
CHATTOOGA__GA	2232	5452	7822
CHEROKEE__GA	19841	76514	98220
CLARKE__GA	25431	13815	40368
CLAY__GA	862	537	1402
CLAYTON__GA	81479	14164	96067
CLINCH__GA	852	1598	2472
COBB__GA	133124	171722	310116
COFFEE__GA	5057	9248	14454
COLQUITT__GA	3973	9243	13328
COLUMBIA__GA	16451	41765	58923
COOK__GA	2042	3935	6031
COWETA__GA	15168	39653	55555
CRAWFORD__GA	1706	3368	5133
CRISP__GA	3167	4182	7396
DADE__GA	1411	4471	6020
DAWSON__GA	1241	8847	10244
DECATUR__GA	4591	5824	10485
DEKALB__GA	238224	64392	306265
DODGE__GA	2442	5214	7733
DOOLY__GA	2285	1985	4298
DOUGHERTY__GA	26295	11449	37919
DOUGLAS__GA	28441	26241	55267
EARLY__GA	2765	2557	5353
ECHOLS__GA	173	917	1102
EFFINGHAM__GA	4947	15596	20816
ELBERT__GA	3181	4859	8143
EMANUEL__GA	2927	5100	8083
EVANS__GA	1268	2268	3563
FANNIN__GA	2028	7857	10017
FAYETTE__GA	19736	38075	58568
FLOYD__GA	9640	22733	32829
FORSYTH__GA	14571	65908	81731
FRANKLIN__GA	1499	6114	7762
FULTON__GA	255470	137124	397413
GILMER__GA	1958	8926	11018
GLASCOCK__GA	176	1135	1333
GLYNN__GA	11950	20893	33133
GORDON__GA	3440	13197	16897
GRADY__GA	3419	5924	9396
GREENE__GA	3201	5071	8323
GWINNETT__GA	132509	159855	296728
HABERSHAM__GA	2301	12166	14641
HALL__GA	12999	47481	61364
HANCOCK__GA	3308	769	4088
HARALSON__GA	1789	8446	10376
HARRIS__GA	4145	11197	15488
HART__GA	2870	6517	9511
HEARD__GA	948	3160	4172
HENRY__GA	43761	46774	91378
HOUSTON__GA	22702	34662	58056
IRWIN__GA	1141	2538	3709
JACKSON__GA	4238	19135	23704
JASPER__GA	1845	4136	6031
JEFF_DAVIS__GA	1275	3996	5336
JEFFERSON__GA	4261	2999	7298
JENKINS__GA	1488	1887	3390
JOHNSON__GA	1305	2440	3772
JONES__GA	4274	7744	12105
LAMAR__GA	2602	4899	7592
LANIER__GA	1114	1820	2972
LAURENS__GA	7513	11950	19604
LEE__GA	3196	10314	13628
LIBERTY__GA	10457	5565	16170
LINCOLN__GA	1586	2807	4426
LONG__GA	1442	2306	3802
LOWNDES__GA	17470	21327	39137
LUMPKIN__GA	2055	8647	10905
MCDUFFIE__GA	4044	5475	9592
MCINTOSH__GA	2864	3409	6341
MACON__GA	3211	1545	4781
MADISON__GA	2494	8443	11104
MARION__GA	1412	1733	3170
MERIWETHER__GA	4331	4856	9264
MILLER__GA	852	1905	2775
MITCHELL__GA	4081	4155	8275
MONROE__GA	3785	8361	12277
MONTGOMERY__GA	1135	2662	3832
MORGAN__GA	2753	6186	9027
MURRAY__GA	2542	8443	11217
MUSCOGEE__GA	42573	27510	70603
NEWTON__GA	21851	20982	43234
OCONEE__GA	4421	13098	17817
OGLETHORPE__GA	1914	4251	6273
PAULDING__GA	15825	40846	57399
PEACH__GA	6148	5287	11516
PICKENS__GA	1975	10547	12680
PIERCE__GA	1124	5667	6846
PIKE__GA	1356	6668	8109
POLK__GA	3615	9811	13608
PULASKI__GA	1219	2444	3682
PUTNAM__GA	2926	6215	9222
QUITMAN__GA	612	510	1128
RABUN__GA	1559	5754	7463
RANDOLPH__GA	1770	1271	3058
RICHMOND__GA	52560	25845	79020
ROCKDALE__GA	22023	15716	38085
SCHLEY__GA	448	1286	1748
SCREVEN__GA	2774	3287	6100
SEMINOLE__GA	1478	2245	3769
SPALDING__GA	9898	14911	25088
STEPHENS__GA	2131	7221	9498
STEWART__GA	1323	745	2076
SUMTER__GA	6375	5378	11831
TALBOT__GA	2265	1202	3491
TALIAFERRO__GA	636	323	963
TATTNALL__GA	1897	4706	6667
TAYLOR__GA	1572	1948	3538
TELFAIR__GA	1805	2480	4336
TERRELL__GA	2544	1834	4398
THOMAS__GA	7653	11156	18953
TIFT__GA	4660	9185	13927
TOOMBS__GA	2746	6524	9344
TOWNS__GA	1273	4876	6211
TREUTLEN__GA	1074	1652	2750
TROUP__GA	10547	15179	25986
TURNER__GA	1510	2028	3559
TWIGGS__GA	2270	1907	4202
UNION__GA	2139	8773	11079
UPSON__GA	3959	7230	11263
WALKER__GA	5274	16247	21896
WALTON__GA	8148	29036	37612
WARE__GA	3900	7941	11939
WARREN__GA	1529	990	2526
WASHINGTON__GA	4714	4035	8808
WAYNE__GA	2596	7557	10269
WEBSTER__GA	582	601	1187
WHEELER__GA	772	1366	2160
WHITE__GA	1671	8651	10488
WHITFIELD__GA	7210	19305	26876
WILCOX__GA	1060	2053	3129
WILKES__GA	2087	2635	4761
WILKINSON__GA	2181	2246	4450
WORTH__GA	2487	5869	8419
HAWAII__HI	47224	14753	63454
HONOLULU__HI	204349	88461	296742
KAUAI__HI	18641	6121	25372
MAUI__HI	36052	11602	48653
ADA__ID	77137	97554	180546
ADAMS__ID	577	1413	2060
BANNOCK__ID	13214	21010	35260
BEAR_LAKE__ID	302	2489	2822
BENEWAH__ID	1164	2596	3884
BINGHAM__ID	3822	13440	17603
BLAINE__ID	5992	3939	10194
BOISE__ID	1053	2284	3445
BONNER__ID	6500	11367	18536
BONNEVILLE__ID	9903	32276	43213
BOUNDARY__ID	1225	3138	4544
BUTTE__ID	258	1001	1286
CAMAS__ID	159	402	578
CANYON__ID	19866	44369	66090
CARIBOU__ID	386	2608	3052
CASSIA__ID	1098	7154	8396
CLARK__ID	66	235	328
CLEARWATER__ID	1032	2541	3696
CUSTER__ID	530	1744	2352
ELMORE__ID	2513	5227	8001
FRANKLIN__ID	325	5195	5600
FREMONT__ID	810	4907	5802
GEM__ID	1957	5311	7490
GOODING__ID	1287	3696	5118
IDAHO__ID	1708	5921	7837
JEFFERSON__ID	1303	9895	11381
JEROME__ID	1699	4804	6681
KOOTENAI__ID	18851	39381	59828
LATAH__ID	8306	7589	16759
LEMHI__ID	960	3029	4110
LEWIS__ID	396	1173	1614
LINCOLN__ID	469	1141	1662
MADISON__ID	832	13445	14412
MINIDOKA__ID	1390	5442	6973
NEZ_PERCE__ID	6451	9967	16848
ONEIDA__ID	217	1838	2089
OWYHEE__ID	833	2794	3724
PAYETTE__ID	2271	6004	8495
POWER__ID	982	1870	2903
SHOSHONE__ID	2277	2699	5148
TETON__ID	1926	2458	4523
TWIN_FALLS__ID	7541	19773	28142
VALLEY__ID	2095	2664	4919
WASHINGTON__ID	1104	3128	4330
ADAMS__IL	9648	20416	30607
ALEXANDER__IL	1965	1487	3501
BOND__IL	3020	4095	7336
BOONE__IL	9883	11096	21365
BROWN__IL	787	1513	2364
BUREAU__IL	8134	8164	16631
CALHOUN__IL	1080	1440	2576
CARROLL__IL	3665	3555	7386
CASS__IL	2053	2707	4862
CHAMPAIGN__IL	40831	35312	78359
CHRISTIAN__IL	5494	8885	14701
CLARK__IL	2591	5144	7860
CLAY__IL	1584	4190	5908
CLINTON__IL	5596	10524	16450
COLES__IL	9262	11631	21358
COOK__IL	1488537	495542	2011597
CRAWFORD__IL	2858	5585	8609
CUMBERLAND__IL	1641	3509	5295
DEKALB__IL	21207	18934	41092
DE_WITT__IL	2601	4579	7345
DOUGLAS__IL	2430	5334	7897
DUPAGE__IL	199460	195046	401079
EDGAR__IL	2565	5132	7819
EDWARDS__IL	754	2405	3228
EFFINGHAM__IL	3861	12501	16613
FAYETTE__IL	2853	5951	8971
FORD__IL	1656	4229	6006
FRANKLIN__IL	7254	10267	17914
FULTON__IL	8328	6632	15356
GALLATIN__IL	1029	1492	2573
GREENE__IL	2023	3451	5622
GRUNDY__IL	9451	11343	21244
HAMILTON__IL	1269	2566	3941
HANCOCK__IL	3650	5271	9111
HARDIN__IL	742	1535	2330
HENDERSON__IL	1978	1541	3568
HENRY__IL	12332	11583	24322
IROQUOIS__IL	3413	9120	12784
JACKSON__IL	13319	9864	24012
JASPER__IL	1436	3514	5043
JEFFERSON__IL	6089	9811	16320
JERSEY__IL	3667	6039	9959
JO_DAVIESS__IL	5667	5534	11429
JOHNSON__IL	1572	3963	5672
KANE__IL	90332	88335	181642
KANKAKEE__IL	21595	23136	45509
KENDALL__IL	22471	24047	47295
KNOX__IL	13451	9408	23278
LAKE__IL	153757	129764	287493
LA_SALLE__IL	23073	23256	47259
LAWRENCE__IL	2011	3857	5989
LEE__IL	6937	8059	15301
LIVINGSTON__IL	5020	9753	15039
LOGAN__IL	3978	7844	12053
MCDONOUGH__IL	5967	6147	12454
MCHENRY__IL	59797	71598	133844
MCLEAN__IL	31883	39947	73382
MACON__IL	22780	25309	48899
MACOUPIN__IL	9464	10946	21010
MADISON__IL	58922	60608	122473
MARION__IL	6225	9248	15764
MARSHALL__IL	2455	3290	5850
MASON__IL	2867	3265	6272
MASSAC__IL	2092	4278	6495
MENARD__IL	2100	3948	6151
MERCER__IL	4507	3876	8534
MONROE__IL	6215	10888	17432
MONTGOMERY__IL	5058	6776	12133
MORGAN__IL	5806	7972	14096
MOULTRIE__IL	2144	3784	6057
OGLE__IL	9514	13422	23367
PEORIA__IL	40209	36774	78411
PERRY__IL	3819	5507	9549
PIATT__IL	3090	5413	8707
PIKE__IL	2278	4860	7286
POPE__IL	650	1512	2222
PULASKI__IL	1389	1564	3003
PUTNAM__IL	1559	1502	3135
RANDOLPH__IL	5759	8290	14392
RICHLAND__IL	2362	4756	7282
ROCK_ISLAND__IL	39157	24934	65016
ST__CLAIR__IL	67285	50125	119466
SALINE__IL	3701	6806	10720
SANGAMON__IL	42107	50225	94297
SCHUYLER__IL	1727	2069	3890
SCOTT__IL	910	1587	2555
SHELBY__IL	3342	6843	10395
STARK__IL	1095	1528	2662
STEPHENSON__IL	10165	10512	21055
TAZEWELL__IL	24438	35335	61048
UNION__IL	3137	4957	8282
VERMILION__IL	12878	16892	30314
WABASH__IL	1590	3478	5134
WARREN__IL	4044	3618	7793
WASHINGTON__IL	2450	4792	7405
WAYNE__IL	1514	5988	7680
WHITE__IL	2188	4731	7064
WHITESIDE__IL	14833	10334	25654
WILL__IL	144229	128969	277387
WILLIAMSON__IL	10647	17909	29143
WINNEBAGO__IL	61732	55138	118984
WOODFORD__IL	5572	12961	18874
ADAMS__IN	3806	8937	13011
ALLEN__IN	60036	84613	146939
BARTHOLOMEW__IN	10625	18083	29326
BENTON__IN	1159	2329	3578
BLACKFORD__IN	1927	2711	4743
BOONE__IN	8328	18808	27737
BROWN__IN	3060	4332	7604
CARROLL__IN	2635	4999	7810
CASS__IN	5371	8443	14161
CLARK__IN	20807	25450	47146
CLAY__IN	3460	7096	10784
CLINTON__IN	3308	6338	9883
CRAWFORD__IN	2041	2421	4590
DAVIESS__IN	2437	7638	10250
DEARBORN__IN	6528	15394	22356
DECATUR__IN	2941	7119	10308
DEKALB__IN	5419	10587	16328
DELAWARE__IN	22654	21251	44968
DUBOIS__IN	6522	11654	18542
ELKHART__IN	24399	42378	67852
FAYETTE__IN	3555	5045	8837
FLOYD__IN	14812	19878	35305
FOUNTAIN__IN	2237	4664	7111
FRANKLIN__IN	2909	7424	10560
FULTON__IN	2621	5317	8126
GIBSON__IN	4928	9487	14721
GRANT__IN	9589	15151	25285
GREENE__IN	4350	8457	13111
HAMILTON__IN	43796	90747	136863
HANCOCK__IN	9319	22796	32843
HARRISON__IN	6607	10640	17671
HENDRICKS__IN	21112	44312	66644
HENRY__IN	7613	10838	19007
HOWARD__IN	15135	20327	36290
HUNTINGTON__IN	4596	10862	15765
JACKSON__IN	5838	10419	16712
JASPER__IN	4672	7955	12896
JAY__IN	3063	4645	7901
JEFFERSON__IN	5728	7096	13126
JENNINGS__IN	3821	6120	10250
JOHNSON__IN	17260	39513	57964
KNOX__IN	5228	9612	15145
KOSCIUSKO__IN	6862	22558	30060
LAGRANGE__IN	2898	6231	9316
LAKE__IN	130897	68431	201758
LAPORTE__IN	24107	18615	43681
LAWRENCE__IN	5779	11622	17822
MADISON__IN	24407	26769	52370
MARION__IN	216336	136509	359009
MARSHALL__IN	6137	11260	17765
MARTIN__IN	1351	3262	4743
MIAMI__IN	4222	8174	12781
MONROE__IN	33436	22481	57223
MONTGOMERY__IN	4271	9824	14440
MORGAN__IN	7969	19591	28266
NEWTON__IN	2212	3291	5654
NOBLE__IN	5229	10680	16244
OHIO__IN	994	1759	2819
ORANGE__IN	2939	4617	7776
OWEN__IN	2823	5062	8113
PARKE__IN	2110	4234	6515
PERRY__IN	4316	3403	7875
PIKE__IN	2125	3627	5926
PORTER__IN	37252	34406	73039
POSEY__IN	4533	7430	12226
PULASKI__IN	1899	3366	5399
PUTNAM__IN	4507	9005	13829
RANDOLPH__IN	3769	6218	10189
RIPLEY__IN	3241	7484	10983
RUSH__IN	2221	4633	7026
ST__JOSEPH__IN	56460	52578	110704
SCOTT__IN	3998	4539	8720
SHELBY__IN	5359	10978	16760
SPENCER__IN	4026	5515	9728
STARKE__IN	3809	4738	8754
STEUBEN__IN	4853	8547	13695
SULLIVAN__IN	3191	4902	8290
SWITZERLAND__IN	1437	1872	3397
TIPPECANOE__IN	26711	28757	56896
TIPTON__IN	2432	4773	7365
UNION__IN	1018	2022	3100
VANDERBURGH__IN	31725	39389	72404
VERMILLION__IN	2979	3426	6581
VIGO__IN	19712	19369	39877
WABASH__IN	3973	8644	12874
WARREN__IN	1324	2377	3800
WARRICK__IN	8793	15351	24630
