_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
AUTAUGA__AL	6363	17379	23932
BALDWIN__AL	18424	66016	85338
BARBOUR__AL	5912	5550	11509
BIBB__AL	2202	6132	8420
BLOUNT__AL	2970	20757	24006
BULLOCK__AL	4061	1251	5322
BUTLER__AL	4374	5087	9496
CALHOUN__AL	15511	30278	46257
CHAMBERS__AL	6871	7626	14611
CHEROKEE__AL	2132	7506	9779
CHILTON__AL	3397	13932	17462
CHOCTAW__AL	3786	4152	7968
CLARKE__AL	6334	7470	13851
CLAY__AL	1777	4817	6662
CLEBURNE__AL	971	5272	6305
COFFEE__AL	4925	14666	19770
COLBERT__AL	9166	13936	23385
CONECUH__AL	3555	3439	7022
COOSA__AL	2191	3049	5269
COVINGTON__AL	3158	12153	15423
CRENSHAW__AL	2050	4331	6418
CULLMAN__AL	5052	28999	34457
DALE__AL	5286	13108	18557
DALLAS__AL	14612	6288	20953
DEKALB__AL	5239	18331	23863
ELMORE__AL	8954	26253	35485
ESCAMBIA__AL	5489	9287	14869
ETOWAH__AL	12803	29130	42530
FAYETTE__AL	1817	6054	7946
FRANKLIN__AL	3171	7567	10859
GENEVA__AL	2039	9175	11320
GREENE__AL	4521	804	5340
HALE__AL	5411	3210	8643
HENRY__AL	3083	5628	8760
HOUSTON__AL	12367	29270	41918
JACKSON__AL	5822	14439	20577
JEFFERSON__AL	159876	141683	303918
LAMAR__AL	1646	5457	7166
LAUDERDALE__AL	12511	23911	36924
LAWRENCE__AL	5069	8874	14112
LEE__AL	21381	32194	54359
LIMESTONE__AL	9829	25295	35459
LOWNDES__AL	5747	1756	7521
MACON__AL	9045	1331	10394
MADISON__AL	62015	90884	155059
MARENGO__AL	6167	5336	11537
MARION__AL	2249	9697	12105
MARSHALL__AL	6299	25867	32566
MOBILE__AL	78760	94893	174864
MONROE__AL	4914	5741	10708
MONTGOMERY__AL	63085	38332	101924
MORGAN__AL	13439	35391	49323
PERRY__AL	4568	1506	6099
PICKENS__AL	4455	5124	9611
PIKE__AL	6035	7963	14107
RANDOLPH__AL	3078	7224	10398
RUSSELL__AL	10500	8278	18879
ST__CLAIR__AL	5801	29031	35148
SHELBY__AL	20051	71436	92507
SUMTER__AL	5421	1586	7027
TALLADEGA__AL	13905	19246	33373
TALLAPOOSA__AL	6319	12396	18829
TUSCALOOSA__AL	32048	45748	78590
WALKER__AL	6557	21651	28521
WASHINGTON__AL	2976	5761	8778
WILCOX__AL	4868	1679	6551
WINSTON__AL	1286	8312	9714
APACHE__AZ	17147	8250	25848
COCHISE__AZ	18546	29497	49003
COCONINO__AZ	29257	21220	51731
GILA__AZ	7697	13455	21528
GRAHAM__AZ	3609	8076	11855
GREENLEE__AZ	1310	1592	2974
LA_PAZ__AZ	1880	3714	5717
MARICOPA__AZ	602288	749885	1376558
MOHAVE__AZ	19533	49168	70010
NAVAJO__AZ	16945	19884	37335
PIMA__AZ	201251	174779	382250
PINAL__AZ	44306	62079	108315
SANTA_CRUZ__AZ	9486	4235	13894
YAVAPAI__AZ	33918	64468	100283
YUMA__AZ	18059	23352	41953
ARKANSAS__AR	2455	3897	6494
ASHLEY__AR	2859	4867	7921
BAXTER__AR	5172	13688	19339
BENTON__AR	22636	54646	79257
BOONE__AR	3772	11159	15391
BRADLEY__AR	1449	2134	3652
CALHOUN__AR	660	1458	2174
CARROLL__AR	3696	6125	10183
CHICOT__AR	2649	1670	4361
CLARK__AR	3811	4343	8409
CLAY__AR	1738	3225	5110
CLEBURNE__AR	2620	8693	11647
CLEVELAND__AR	845	2313	3266
COLUMBIA__AR	3557	5790	9455
CONWAY__AR	3005	4514	7730
CRAIGHEAD__AR	10527	20350	31700
CRAWFORD__AR	4881	15145	20591
CRITTENDEN__AR	9487	6998	16716
CROSS__AR	2279	4269	6681
DALLAS__AR	1337	1665	3084
DESHA__AR	2443	1896	4420
DREW__AR	2630	3887	6633
FAULKNER__AR	13621	26722	41460
FRANKLIN__AR	1726	4631	6540
FULTON__AR	1452	2949	4522
GARLAND__AR	13804	26014	40728
GRANT__AR	1468	4829	6479
GREENE__AR	4000	9071	13761
HEMPSTEAD__AR	2468	4284	6921
HOT_SPRING__AR	3830	7097	11260
HOWARD__AR	1471	2892	4462
INDEPENDENCE__AR	3281	8728	12397
IZARD__AR	1524	3575	5278
JACKSON__AR	2095	3072	5347
JEFFERSON__AR	17470	9520	27383
JOHNSON__AR	2799	5064	8098
LAFAYETTE__AR	1173	1713	2929
LAWRENCE__AR	1788	3536	5540
LEE__AR	2107	1280	3424
LINCOLN__AR	1425	2199	3726
LITTLE_RIVER__AR	1552	3385	5051
LOGAN__AR	2009	5079	7331
LONOKE__AR	5625	17880	24114
MADISON__AR	2099	4263	6568
MARION__AR	2037	4774	7051
MILLER__AR	4518	10622	15329
MISSISSIPPI__AR	6467	6603	13375
MONROE__AR	1583	1585	3230
MONTGOMERY__AR	920	2369	3404
NEVADA__AR	1314	1996	3384
NEWTON__AR	993	2508	3661
OUACHITA__AR	4633	5521	10315
PERRY__AR	1187	2581	3938
PHILLIPS__AR	5202	2598	7930
PIKE__AR	851	2847	3788
POINSETT__AR	2390	4974	7560
POLK__AR	1556	5955	7726
POPE__AR	5126	14763	20439
PRAIRIE__AR	880	2153	3141
PULASKI__AR	87248	68984	159381
RANDOLPH__AR	2046	3701	5956
ST__FRANCIS__AR	4910	3368	8362
SALINE__AR	12869	32963	47062
SCOTT__AR	897	2631	3640
SEARCY__AR	814	2699	3694
SEBASTIAN__AR	13092	29169	43362
SEVIER__AR	1042	3136	4330
SHARP__AR	2092	4921	7283
STONE__AR	1356	3776	5354
UNION__AR	6196	10699	17177
VAN_BUREN__AR	1832	4365	6430
WASHINGTON__AR	28236	39688	70460
WHITE__AR	5765	20011	26514
