_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
IMPERIAL__CA	15489	12524	28937
INYO__CA	2652	4713	7815
KERN__CA	66003	110663	182308
KINGS__CA	11041	16377	28335
LAKE__CA	10717	8699	20919
LASSEN__CA	2982	7080	10586
LOS_ANGELES__CA	1710505	871930	2695154
MADERA__CA	11650	20283	33395
MARIN__CA	79135	34872	123155
MARIPOSA__CA	2816	4727	8074
MENDOCINO__CA	16634	12272	34410
MERCED__CA	22726	26102	50418
MODOC__CA	945	2969	4107
MONO__CA	1788	2296	4371
MONTEREY__CA	67618	43761	117534
NAPA__CA	28097	20633	51724
NEVADA__CA	17670	25998	47479
ORANGE__CA	391819	541299	970905
PLACER__CA	42449	69835	117799
PLUMAS__CA	3458	6343	10401
RIVERSIDE__CA	202576	231955	451127
SACRAMENTO__CA	212792	195619	431550
SAN_BENITO__CA	9131	7015	16831
SAN_BERNARDINO__CA	214749	221757	454893
SAN_DIEGO__CA	437666	475736	958634
SAN_FRANCISCO__CA	241578	51496	319786
SAN_JOAQUIN__CA	79776	81773	167239
SAN_LUIS_OBISPO__CA	44526	56859	108886
SAN_MATEO__CA	166757	80296	259399
SANTA_BARBARA__CA	73411	71493	154974
SANTA_CLARA__CA	332490	188750	548129
SANTA_CRUZ__CA	66618	29627	108350
SHASTA__CA	20127	43278	66544
SIERRA__CA	540	1172	1847
SISKIYOU__CA	6323	12198	19819
SOLANO__CA	75116	51604	131735
SONOMA__CA	117295	63529	197006
STANISLAUS__CA	56448	67188	128267
SUTTER__CA	8416	17350	26564
TEHAMA__CA	6507	13270	20854
TRINITY__CA	1932	3340	5797
TULARE__CA	33006	54070	89818
TUOLUMNE__CA	9359	13172	23727
VENTURA__CA	133258	136173	282692
YOLO__CA	33747	23057	61436
YUBA__CA	5546	9838	16127
ADAMS__CO	54132	47561	107852
ALAMOSA__CO	2455	2857	5659
ARAPAHOE__CO	82614	97768	189942
ARCHULETA__CO	1432	2988	4758
BACA__CO	531	1663	2278
BENT__CO	783	1096	1963
BOULDER__CO	69983	50873	139626
CHAFFEE__CO	2768	4300	7610
CHEYENNE__CO	209	957	1212
CLEAR_CREEK__CO	2188	2247	4924
CONEJOS__CO	1749	1772	3671
COSTILLA__CO	1054	504	1648
CROWLEY__CO	511	855	1445
CUSTER__CO	507	1451	2111
DELTA__CO	3264	8372	12686
DENVER__CO	122693	61224	198347
DOLORES__CO	293	741	1134
DOUGLAS__CO	27076	56007	86225
EAGLE__CO	6772	7165	15188
ELBERT__CO	2326	6151	8965
EL_PASO__CO	61799	128294	200757
FREMONT__CO	5293	9914	16056
GARFIELD__CO	6087	9103	17104
GILPIN__CO	1099	1006	2465
GRAND__CO	2308	3570	6353
GUNNISON__CO	3059	3128	7236
HINSDALE__CO	188	316	566
HUERFANO__CO	1495	1466	3174
JACKSON__CO	173	682	925
JEFFERSON__CO	100970	120138	235491
KIOWA__CO	211	728	968
KIT_CARSON__CO	809	2542	3458
LAKE__CO	1296	1056	2628
LA_PLATA__CO	7864	9993	20490
LARIMER__CO	46055	62429	118537
LAS_ANIMAS__CO	3243	2569	6094
LINCOLN__CO	510	1630	2199
LOGAN__CO	2296	5531	8096
MESA__CO	15465	32396	51054
MINERAL__CO	168	294	486
MOFFAT__CO	1223	3840	5337
MONTEZUMA__CO	2556	6158	9384
MONTROSE__CO	4041	9266	14215
MORGAN__CO	2885	5722	8998
OTERO__CO	2963	4082	7312
OURAY__CO	705	1279	2233
PARK__CO	2393	3677	6665
PHILLIPS__CO	564	1573	2220
PITKIN__CO	4137	2565	7800
PROWERS__CO	1361	3026	4524
PUEBLO__CO	28888	22827	53946
RIO_BLANCO__CO	543	2185	2855
RIO_GRANDE__CO	1707	3111	5075
ROUTT__CO	4208	4472	9638
SAGUACHE__CO	1145	1078	2529
SAN_JUAN__CO	149	210	436
SAN_MIGUEL__CO	1598	1043	3255
SEDGWICK__CO	384	877	1303
SUMMIT__CO	5304	4497	11068
TELLER__CO	2750	6477	9847
WASHINGTON__CO	477	1878	2445
WELD__CO	23436	37409	64541
YUMA__CO	1082	3156	4358
FAIRFIELD__CT	193769	159659	370289
HARTFORD__CT	221167	127468	367556
LITCHFIELD__CT	41806	39172	87338
MIDDLESEX__CT	43319	29295	77433
NEW_HAVEN__CT	197928	122919	341099
