_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
AUTAUGA__AL	4758	15196	20081
BALDWIN__AL	15599	52971	69320
BARBOUR__AL	4832	5899	10777
BIBB__AL	2089	5472	7600
BLOUNT__AL	3938	17386	21504
BULLOCK__AL	3210	1494	4717
BUTLER__AL	3413	4979	8416
CALHOUN__AL	15083	29814	45249
CHAMBERS__AL	5347	7622	13032
CHEROKEE__AL	3040	5923	9049
CHILTON__AL	3778	12829	16693
CHOCTAW__AL	3303	3897	7227
CLARKE__AL	4627	6730	11394
CLAY__AL	1893	4624	6576
CLEBURNE__AL	1391	4370	5798
COFFEE__AL	4480	13019	17616
COLBERT__AL	10598	13188	23935
CONECUH__AL	2719	3271	6021
COOSA__AL	2055	2905	5001
COVINGTON__AL	3423	11119	14627
CRENSHAW__AL	1698	3777	5500
CULLMAN__AL	8045	26818	35191
DALE__AL	4484	13621	18231
DALLAS__AL	11175	7335	18573
DEKALB__AL	7092	16904	24135
ELMORE__AL	6471	22056	28680
ESCAMBIA__AL	3814	8513	12395
ETOWAH__AL	15328	26999	42680
FAYETTE__AL	2408	5534	8002
FRANKLIN__AL	4514	7690	12269
GENEVA__AL	2113	8342	10520
GREENE__AL	3764	958	4748
HALE__AL	4631	3281	7945
HENRY__AL	2452	4881	7361
HOUSTON__AL	9144	26874	36201
JACKSON__AL	8635	11534	20321
JEFFERSON__AL	132286	158680	292967
LAMAR__AL	1956	4894	6885
LAUDERDALE__AL	14628	22161	37107
LAWRENCE__AL	6155	7730	14001
LEE__AL	16227	27972	44610
LIMESTONE__AL	9126	19702	29073
LOWNDES__AL	4233	1786	6021
MACON__AL	7800	1570	9407
MADISON__AL	52644	77173	131062
MARENGO__AL	5037	5255	10322
MARION__AL	3808	8983	12875
MARSHALL__AL	8452	22783	31491
MOBILE__AL	63732	92014	156771
MONROE__AL	3666	5831	9534
MONTGOMERY__AL	45160	44097	89650
MORGAN__AL	14131	32477	47007
PERRY__AL	3767	1738	5523
PICKENS__AL	3915	5170	9132
PIKE__AL	4334	7483	11883
RANDOLPH__AL	2817	6127	9001
RUSSELL__AL	8375	8337	16809
ST__CLAIR__AL	5456	23500	29161
SHELBY__AL	14850	63435	78906
SUMTER__AL	4527	1880	6433
TALLADEGA__AL	11374	18331	29898
TALLAPOOSA__AL	5451	12392	17952
TUSCALOOSA__AL	26447	42877	69830
WALKER__AL	9016	19167	28367
WASHINGTON__AL	3145	5060	8247
WILCOX__AL	3838	1834	5682
WINSTON__AL	2236	8130	10423
APACHE__AZ	15658	8384	24198
COCHISE__AZ	17514	26556	44483
COCONINO__AZ	29243	22526	52267
GILA__AZ	8314	12343	20843
GRAHAM__AZ	3185	7467	10720
GREENLEE__AZ	1146	1899	3067
LA_PAZ__AZ	1849	3158	5055
MARICOPA__AZ	504849	679455	1192751
MOHAVE__AZ	20503	36794	57807
NAVAJO__AZ	14815	17277	32343
PIMA__AZ	193128	171109	366907
PINAL__AZ	27252	37006	64622
SANTA_CRUZ__AZ	6909	4668	11668
YAVAPAI__AZ	33127	53468	87389
YUMA__AZ	16032	22184	38465
ARKANSAS__AR	3110	3789	6946
ASHLEY__AR	3881	4567	8512
BAXTER__AR	7129	11128	18530
BENTON__AR	20756	46571	68121
BOONE__AR	4640	9793	14777
BRADLEY__AR	2206	2011	4249
CALHOUN__AR	942	1341	2303
CARROLL__AR	4161	6184	10481
CHICOT__AR	2993	1725	4757
CLARK__AR	4985	4127	9189
CLAY__AR	3264	2759	6096
CLEBURNE__AR	4702	7001	11835
CLEVELAND__AR	1450	2009	3496
COLUMBIA__AR	4108	5729	9909
CONWAY__AR	4259	4293	8649
CRAIGHEAD__AR	13665	15818	29801
CRAWFORD__AR	6764	13391	20401
CRITTENDEN__AR	8277	6930	15300
CROSS__AR	3135	3864	7074
DALLAS__AR	1667	1699	3383
DESHA__AR	2851	1729	4647
DREW__AR	2952	3262	6249
FAULKNER__AR	14538	21514	36686
FRANKLIN__AR	3008	4181	7289
FULTON__AR	2370	2522	4955
GARLAND__AR	18040	21734	40154
GRANT__AR	2524	4205	6770
GREENE__AR	6561	7232	13947
HEMPSTEAD__AR	3817	3580	7452
HOT_SPRING__AR	5903	5962	12068
HOWARD__AR	2166	2736	4943
INDEPENDENCE__AR	5443	7430	13011
IZARD__AR	2586	2833	5493
JACKSON__AR	3515	2624	6219
JEFFERSON__AR	19675	10218	30493
JOHNSON__AR	3622	4311	8044
LAFAYETTE__AR	1567	1604	3191
LAWRENCE__AR	3544	2951	6615
LEE__AR	2548	1492	4080
LINCOLN__AR	2149	1921	4109
LITTLE_RIVER__AR	2677	2575	5294
LOGAN__AR	3361	5076	8551
LONOKE__AR	7454	14398	22030
MADISON__AR	2421	3873	6384
MARION__AR	2602	4127	6867
MILLER__AR	6139	8448	14678
MISSISSIPPI__AR	7593	6121	14153
MONROE__AR	2049	1586	3667
MONTGOMERY__AR	1524	2367	3958
NEVADA__AR	1694	1752	3477
NEWTON__AR	1506	2779	4378
OUACHITA__AR	5188	5345	10650
PERRY__AR	1921	2435	4431
PHILLIPS__AR	5642	3161	8868
