_PARTIES	Democrat	Republican	Total
PIKE__AR	1310	2013	3367
POINSETT__AR	4069	3555	7723
POLK__AR	2473	5192	7799
POPE__AR	7100	13614	20902
PRAIRIE__AR	1562	2030	3624
PULASKI__AR	82755	67617	151758
RANDOLPH__AR	3412	3158	6667
ST__FRANCIS__AR	5684	3815	9588
SALINE__AR	14153	24864	39376
SCOTT__AR	1473	2514	4038
SEARCY__AR	1370	2565	3992
SEBASTIAN__AR	16479	27303	44211
SEVIER__AR	2035	2516	4601
SHARP__AR	3265	4097	7470
STONE__AR	2255	3188	5549
UNION__AR	7071	10502	17832
VAN_BUREN__AR	3310	3988	7374
WASHINGTON__AR	27597	35726	64103
WHITE__AR	9129	17001	26425
WOODRUFF__AR	1972	1021	3026
YELL__AR	2913	3678	6659
ALAMEDA__CA	422585	130911	560742
ALPINE__CA	373	311	699
AMADOR__CA	6211	10479	16879
BUTTE__CA	42448	51662	95735
CALAVERAS__CA	8286	13601	22306
COLUSA__CA	1947	4142	6166
CONTRA_COSTA__CA	257254	150608	412139
DEL_NORTE__CA	3892	5356	9421
EL_DORADO__CA	32242	52878	86278
FRESNO__CA	103154	141988	247160
GLENN__CA	2995	6308	9435
HUMBOLDT__CA	37988	25714	65510
IMPERIAL__CA	13955	11628	25902
INYO__CA	3021	4559	7718
KERN__CA	68603	140417	210858
KINGS__CA	10833	21003	32093
LAKE__CA	9679	8185	18166
LASSEN__CA	3158	8126	11437
LOS_ANGELES__CA	1907736	1076225	3021647
MADERA__CA	13481	24871	38780
MARIN__CA	99070	34378	134919
MARIPOSA__CA	3251	5215	8638
MENDOCINO__CA	24385	12955	38179
MERCED__CA	24491	32773	57945
MODOC__CA	1149	3235	4456
MONO__CA	2628	2621	5330
MONTEREY__CA	75241	47838	124544
NAPA__CA	33666	22059	56465
NEVADA__CA	24220	28790	53739
ORANGE__CA	419239	641832	1073296
PLACER__CA	55573	95969	152945
PLUMAS__CA	4129	6905	11178
RIVERSIDE__CA	228806	322473	556882
SACRAMENTO__CA	236657	235539	476765
SAN_BENITO__CA	9851	8698	18725
SAN_BERNARDINO__CA	227789	289306	522777
SAN_DIEGO__CA	526437	596033	1133584
SAN_FRANCISCO__CA	296772	54355	355929
SAN_JOAQUIN__CA	87012	100978	189505
SAN_LUIS_OBISPO__CA	58742	67995	128647
SAN_MATEO__CA	197922	83315	284077
SANTA_BARBARA__CA	90314	76806	169125
SANTA_CLARA__CA	386100	209094	602614
SANTA_CRUZ__CA	89102	30354	121733
SHASTA__CA	24339	52249	77571
SIERRA__CA	646	1249	1945
SISKIYOU__CA	7880	12673	20863
SOLANO__CA	85096	62301	148746
SONOMA__CA	148261	68204	220077
STANISLAUS__CA	58829	85407	145514
SUTTER__CA	9602	20254	30145
TEHAMA__CA	7504	15572	23405
TRINITY__CA	2782	3560	6479
TULARE__CA	32494	65399	98739
TUOLUMNE__CA	10104	15745	26188
VENTURA__CA	148859	160314	312909
YOLO__CA	42885	28005	72009
YUBA__CA	5687	12076	18020
ADAMS__CO	69122	65912	136672
ALAMOSA__CO	3017	3179	6269
ARAPAHOE__CO	110262	119475	232171
ARCHULETA__CO	2141	3601	5839
BACA__CO	483	1680	2186
BENT__CO	785	1338	2155
BOULDER__CO	105564	51586	159257
BROOMFIELD__CO	10935	12007	23235
CHAFFEE__CO	3766	4875	8769
CHEYENNE__CO	198	923	1134
CLEAR_CREEK__CO	2989	2522	5613
CONEJOS__CO	1894	1864	3800
COSTILLA__CO	1170	566	1759
CROWLEY__CO	478	1006	1493
CUSTER__CO	739	1657	2428
DELTA__CO	4224	9722	14159
DENVER__CO	166135	69903	238672
DOLORES__CO	333	785	1146
DOUGLAS__CO	39661	80651	121200
EAGLE__CO	9744	8533	18511
ELBERT__CO	2834	8389	11361
EL_PASO__CO	77648	161361	241786
FREMONT__CO	5933	12313	18523
GARFIELD__CO	9228	11123	20647
GILPIN__CO	1807	1329	3196
GRAND__CO	3243	4260	7609
GUNNISON__CO	4782	3479	8420
HINSDALE__CO	236	355	602
HUERFANO__CO	1663	1700	3402
JACKSON__CO	210	710	934
JEFFERSON__CO	126558	140644	271293
KIOWA__CO	172	712	892
KIT_CARSON__CO	729	2721	3502
LAKE__CO	1623	1261	2949
LA_PLATA__CO	13409	11704	25490
LARIMER__CO	68266	75884	146435
LAS_ANIMAS__CO	3300	3196	6587
LINCOLN__CO	503	1819	2337
LOGAN__CO	2491	6168	8766
MESA__CO	19564	41539	61885
MINERAL__CO	227	383	619
MOFFAT__CO	1355	4247	5725
MONTEZUMA__CO	3867	6988	11015
MONTROSE__CO	4776	11218	16219
MORGAN__CO	3039	6787	9936
OTERO__CO	3164	4947	8180
OURAY__CO	1278	1402	2719
PARK__CO	3445	4781	8355
PHILLIPS__CO	582	1717	2325
PITKIN__CO	6335	2784	9255
PROWERS__CO	1308	3392	4745
PUEBLO__CO	35369	31117	67182
RIO_BLANCO__CO	566	2403	3003
RIO_GRANDE__CO	2006	3448	5523
ROUTT__CO	6392	5199	11761
SAGUACHE__CO	1594	1163	2803
SAN_JUAN__CO	253	216	486
SAN_MIGUEL__CO	2876	1079	4019
SEDGWICK__CO	374	971	1360
SUMMIT__CO	8144	5370	13735
TELLER__CO	3556	8094	11840
WASHINGTON__CO	455	2050	2530
WELD__CO	31868	55591	88652
YUMA__CO	1064	3456	4559
FAIRFIELD__CT	205902	189605	400967
HARTFORD__CT	229902	154919	391808
LITCHFIELD__CT	44647	50160	96668
MIDDLESEX__CT	47292	35252	83984
NEW_HAVEN__CT	199060	160390	366392
NEW_LONDON__CT	66062	49931	118360
TOLLAND__CT	39146	31245	71729
WINDHAM__CT	25477	22324	48861
KENT__DE	23872	31578	55977
NEW_CASTLE__DE	146171	93070	241444
SUSSEX__DE	30098	47003	77749
DISTRICT_OF_COLUMBIA__DC	202970	21256	227586
ALACHUA__FL	62504	47762	111328
BAKER__FL	2180	7738	9955
BAY__FL	21068	53404	75024
BRADFORD__FL	3244	7557	10855
BREVARD__FL	110309	153068	265462
BROWARD__FL	453873	244674	706872
CALHOUN__FL	2116	3782	5963
CHARLOTTE__FL	34256	44428	79786
CITRUS__FL	29277	39500	69467
CLAY__FL	18971	62078	81495
COLLIER__FL	43892	83631	128683
COLUMBIA__FL	8031	16758	24991
DESOTO__FL	3913	5524	9510
DIXIE__FL	1960	4434	6442
DUVAL__FL	158610	220190	381061
ESCAMBIA__FL	48329	93566	143278
FLAGLER__FL	18578	19633	38480
FRANKLIN__FL	2401	3472	5931
GADSDEN__FL	14629	6253	20984
GILCHRIST__FL	2017	4936	7015
GLADES__FL	1718	2443	4188
GULF__FL	2407	4805	7277
HAMILTON__FL	2260	2792	5079
HARDEE__FL	2149	5049	7249
HENDRY__FL	3960	5757	9775
HERNANDO__FL	37187	42635	80547
HIGHLANDS__FL	15347	25878	41496
HILLSBOROUGH__FL	214132	245576	463222
HOLMES__FL	1810	6412	8300
INDIAN_RIVER__FL	23956	36938	61414
JACKSON__FL	7555	12122	19807
JEFFERSON__FL	4135	3298	7478
LAFAYETTE__FL	845	2460	3325
LAKE__FL	48221	74389	123950
LEE__FL	93860	144176	240667
LEON__FL	83873	51615	136379
LEVY__FL	6074	10410	16652
LIBERTY__FL	1070	1927	3021
MADISON__FL	4050	4191	8304
MANATEE__FL	61262	81318	143621
MARION__FL	57271	81283	139677
MARTIN__FL	30208	41362	72453
MIAMI_DADE__FL	409732	361095	774726
MONROE__FL	19654	19467	39535
NASSAU__FL	8573	23783	32743
OKALOOSA__FL	19368	69693	89756
OKEECHOBEE__FL	5153	6978	12190
ORANGE__FL	193354	192539	388044
OSCEOLA__FL	38633	43117	82204
PALM_BEACH__FL	328687	212688	544622
PASCO__FL	84749	103230	190916
PINELLAS__FL	225460	225686	455357
POLK__FL	86009	123559	210830
PUTNAM__FL	12412	18311	30973
ST__JOHNS__FL	26399	59196	86290
ST__LUCIE__FL	51835	47592	100063
SANTA_ROSA__FL	14659	52059	67307
SARASOTA__FL	88442	104692	195652
SEMINOLE__FL	76971	108172	186195
SUMTER__FL	11584	19800	31842
SUWANNEE__FL	4522	11153	15802
TAYLOR__FL	3049	5467	8581
UNION__FL	1251	3396	4675
VOLUSIA__FL	115519	111924	228939
WAKULLA__FL	4896	6777	11763
WALTON__FL	6213	17555	23976
WASHINGTON__FL	2912	7369	10366
APPLING__GA	1848	4494	6369
ATKINSON__GA	799	1666	2470
BACON__GA	930	2853	3790
BAKER__GA	936	821	1764
BALDWIN__GA	6775	7709	14547
BANKS__GA	1149	4410	5590
BARROW__GA	4095	13520	17727
BARTOW__GA	7741	22311	30232
BEN_HILL__GA	2180	3331	5536
BERRIEN__GA	1638	3917	5592
BIBB__GA	29322	28107	57687
BLECKLEY__GA	1281	3167	4467
BRANTLEY__GA	1258	4333	5618
BROOKS__GA	2193	2912	5113
BRYAN__GA	2590	7363	9983
BULLOCH__GA	6840	12252	19171
BURKE__GA	4213	4232	8479
BUTTS__GA	2572	5119	7734
CALHOUN__GA	1119	890	2019
CAMDEN__GA	4637	9488	14175
CANDLER__GA	1096	2048	3151
CARROLL__GA	10224	24837	35278
CATOOSA__GA	5807	16406	22304
CHARLTON__GA	1064	2311	3387
CHATHAM__GA	45630	45484	91515
CHATTAHOOCHEE__GA	773	905	1688
CHATTOOGA__GA	2809	4992	7847
CHEROKEE__GA	14824	58238	73587
CLARKE__GA	21718	15052	37235
CLAY__GA	798	509	1309
CLAYTON__GA	56113	23106	79546
CLINCH__GA	750	1501	2265
COBB__GA	103955	173467	279473
COFFEE__GA	3979	8306	12327
COLQUITT__GA	3378	8296	11730
COLUMBIA__GA	11442	35549	47144
COOK__GA	1733	3065	4816
COWETA__GA	10647	31682	42545
CRAWFORD__GA	1552	2830	4402
CRISP__GA	2357	3865	6250
DADE__GA	1823	4368	6230
DAWSON__GA	1407	6649	8113
DECATUR__GA	3577	5348	8951
DEKALB__GA	200787	73570	276139
DODGE__GA	2384	4584	6995
DOOLY__GA	1973	1853	3844
DOUGHERTY__GA	19805	13711	33647
DOUGLAS__GA	15997	25846	42065
EARLY__GA	1701	2495	4213
ECHOLS__GA	231	757	991
EFFINGHAM__GA	3613	12503	16167
ELBERT__GA	2984	4626	7656
EMANUEL__GA	2774	4666	7468
EVANS__GA	1213	2291	3514
FANNIN__GA	2727	6862	9650
FAYETTE__GA	14887	37346	52528
FLOYD__GA	10038	21400	31625
FORSYTH__GA	9201	47267	56826
FRANKLIN__GA	2245	5218	7502
FULTON__GA	199436	134372	336024
GILMER__GA	2510	7414	9998
GLASCOCK__GA	250	1016	1269
GLYNN__GA	8962	18608	27692
GORDON__GA	4028	11671	15775
GRADY__GA	3092	5068	8191
GREENE__GA	2774	4069	6872
GWINNETT__GA	81708	160445	243917
HABERSHAM__GA	2750	10434	13245
HALL__GA	10514	38883	49696
HANCOCK__GA	2715	822	3550
HARALSON__GA	2434	7703	10193
HARRIS__GA	3400	8878	12331
HART__GA	3479	5500	9021
HEARD__GA	1148	2788	3955
HENRY__GA	21096	42759	64153
HOUSTON__GA	15054	29862	45153
IRWIN__GA	1051	2347	3414
JACKSON__GA	3468	12611	16170
JASPER__GA	1558	3157	4740
JEFF_DAVIS__GA	1277	3549	4844
JEFFERSON__GA	3447	3066	6535
JENKINS__GA	1494	1898	3403
JOHNSON__GA	1263	2279	3553
JONES__GA	3855	6939	10845
LAMAR__GA	2432	4027	6494
LANIER__GA	931	1641	2584
LAURENS__GA	6281	10883	17237
LEE__GA	2182	8201	10413
LIBERTY__GA	6619	6131	12800
LINCOLN__GA	1337	2309	3657
LONG__GA	1033	1994	3036
LOWNDES__GA	12516	18981	31622
LUMPKIN__GA	2091	6690	8855
MCDUFFIE__GA	2899	4846	7773
MCINTOSH__GA	2523	2837	5378
MACON__GA	2906	1851	4777
MADISON__GA	2527	7254	9833
MARION__GA	1275	1670	2952
MERIWETHER__GA	3709	4402	8147
MILLER__GA	736	1694	2441
MITCHELL__GA	3360	3885	7267
MONROE__GA	3216	6522	9783
MONTGOMERY__GA	1007	2150	3168
MORGAN__GA	2304	4902	7242
MURRAY__GA	2899	7745	10689
MUSCOGEE__GA	32867	30850	63948
NEWTON__GA	10939	18095	29166
OCONEE__GA	3789	10276	14170
OGLETHORPE__GA	1899	3688	5628
PAULDING__GA	9420	30843	40467
PEACH__GA	3961	4554	8545
PICKENS__GA	2444	8115	10627
PIERCE__GA	1234	4680	5923
PIKE__GA	1506	5193	6741
POLK__GA	3868	8467	12395
PULASKI__GA	1294	2202	3511
PUTNAM__GA	2880	5188	8107
QUITMAN__GA	543	409	965
RABUN__GA	1918	4650	6625
RANDOLPH__GA	1612	1418	3047
RICHMOND__GA	39262	29764	69282
ROCKDALE__GA	12136	18856	31156
SCHLEY__GA	464	1063	1530
SCREVEN__GA	2534	3360	5923
SEMINOLE__GA	1278	1977	3274
SPALDING__GA	7460	13461	21007
STEPHENS__GA	2714	6904	9660
STEWART__GA	1220	797	2031
SUMTER__GA	5562	5688	11287
TALBOT__GA	1830	1103	2943
TALIAFERRO__GA	612	335	951
TATTNALL__GA	1787	4657	6463
TAYLOR__GA	1458	1912	3381
TELFAIR__GA	1590	2171	3775
TERRELL__GA	1951	1859	3824
THOMAS__GA	5997	9659	15705
TIFT__GA	3864	8619	12520
TOOMBS__GA	2567	6196	8813
TOWNS__GA	1430	3823	5277
TREUTLEN__GA	1052	1691	2756
TROUP__GA	7630	14183	21912
TURNER__GA	1135	1815	2960
TWIGGS__GA	2220	2112	4365
UNION__GA	2327	6847	9225
UPSON__GA	3424	6634	10086
WALKER__GA	5986	15340	21453
WALTON__GA	5887	21594	27624
WARE__GA	3449	7790	11281
WARREN__GA	1360	1121	2489
WASHINGTON__GA	3733	4081	7847
WAYNE__GA	2683	6819	9542
WEBSTER__GA	515	485	1004
WHEELER__GA	847	1192	2049
WHITE__GA	2016	7403	9483
WHITFIELD__GA	6933	19297	26356
WILCOX__GA	902	1705	2613
WILKES__GA	2028	2490	4543
WILKINSON__GA	2235	2261	4514
WORTH__GA	2219	5105	7348
HAWAII__HI	35116	22032	57702
HONOLULU__HI	152500	144157	298547
KAUAI__HI	14916	9740	24876
MAUI__HI	28803	18187	47430
ADA__ID	58523	94641	155002
ADAMS__ID	555	1468	2063
BANNOCK__ID	12903	21479	34843
BEAR_LAKE__ID	494	2506	3040
BENEWAH__ID	1148	2823	4047
BINGHAM__ID	3605	12734	16564
BLAINE__ID	5992	4034	10146
BOISE__ID	970	2501	3527
BONNER__ID	6649	10697	17681
BONNEVILLE__ID	8356	30048	38871
BOUNDARY__ID	1268	3012	4378
BUTTE__ID	321	1077	1406
CAMAS__ID	139	450	595
CANYON__ID	13415	41599	55692
CARIBOU__ID	491	2753	3281
CASSIA__ID	1153	6562	7821
CLARK__ID	46	302	353
CLEARWATER__ID	1117	2839	4034
CUSTER__ID	559	1762	2358
ELMORE__ID	1959	6011	8059
FRANKLIN__ID	456	4527	5054
FREMONT__ID	741	4965	5769
GEM__ID	1628	5416	7134
GOODING__ID	1278	3973	5325
IDAHO__ID	1689	6017	7965
JEFFERSON__ID	1084	7703	8906
JEROME__ID	1344	5177	6580
KOOTENAI__ID	17584	36173	54596
LATAH__ID	8430	8686	17547
LEMHI__ID	915	3079	4053
LEWIS__ID	440	1359	1820
LINCOLN__ID	466	1388	1875
MADISON__ID	826	10693	11637
MINIDOKA__ID	1331	5797	7200
NEZ_PERCE__ID	6476	11009	17700
ONEIDA__ID	304	1789	2133
OWYHEE__ID	685	2859	3590
PAYETTE__ID	1848	6256	8180
POWER__ID	829	2105	2958
SHOSHONE__ID	2331	2922	5337
TETON__ID	1416	2235	3690
TWIN_FALLS__ID	6458	19672	26435
VALLEY__ID	1843	2863	4772
WASHINGTON__ID	1033	3274	4359
ADAMS__IL	10511	20834	31477
ALEXANDER__IL	2016	1831	3873
BOND__IL	3228	4068	7369
BOONE__IL	8286	11132	19541
BROWN__IL	895	1679	2585
BUREAU__IL	7961	9822	17902
CALHOUN__IL	1367	1317	2706
CARROLL__IL	3537	4534	8135
CASS__IL	2492	3163	5700
CHAMPAIGN__IL	41524	39896	82434
CHRISTIAN__IL	6112	9044	15267
CLARK__IL	2877	5082	8007
CLAY__IL	2101	4416	6554
CLINTON__IL	6797	10219	17131
COLES__IL	9566	13015	22780
COOK__IL	1439724	597405	2049434
CRAWFORD__IL	3194	6083	9332
CUMBERLAND__IL	1862	3497	5416
DEKALB__IL	19263	21095	40768
DE_WITT__IL	2836	4920	7798
DOUGLAS__IL	2767	5702	8540
DUPAGE__IL	180097	218902	402446
EDGAR__IL	3093	5258	8429
EDWARDS__IL	930	2412	3364
EFFINGHAM__IL	4388	11774	16278
FAYETTE__IL	3571	5880	9549
FORD__IL	1912	4511	6479
FRANKLIN__IL	8816	10388	19352
FULTON__IL	9080	7818	17035
GALLATIN__IL	1573	1619	3225
GREENE__IL	2457	3559	6068
GRUNDY__IL	8463	11198	19831
HAMILTON__IL	1814	2653	4514
HANCOCK__IL	3975	5837	9899
HARDIN__IL	923	1501	2437
HENDERSON__IL	2269	1857	4153
HENRY__IL	11877	13212	25241
IROQUOIS__IL	3832	9914	13835
JACKSON__IL	14300	11190	25826
JASPER__IL	1781	3529	5336
JEFFERSON__IL	6713	10160	16948
JERSEY__IL	4597	5435	10137
JO_DAVIESS__IL	5311	6174	11584
JOHNSON__IL	1813	3997	5865
KANE__IL	75922	94359	171715
KANKAKEE__IL	20003	24739	45036
KENDALL__IL	12374	19774	32402
KNOX__IL	13403	11111	24708
LAKE__IL	134352	139081	275295
LA_SALLE__IL	24263	26101	50729
LAWRENCE__IL	2518	4162	6729
LEE__IL	6416	9307	15876
LIVINGSTON__IL	5632	10316	16039
LOGAN__IL	4273	9112	13467
MCDONOUGH__IL	7119	7656	14929
MCHENRY__IL	50330	76412	127948
MCLEAN__IL	29877	41276	71620
MACON__IL	23341	28118	51746
MACOUPIN__IL	11193	11413	22785
MADISON__IL	63399	59384	123678
MARION__IL	7694	9413	17224
MARSHALL__IL	2806	3734	6584
MASON__IL	3215	3907	7183
MASSAC__IL	2805	4578	7424
MENARD__IL	2137	4408	6574
MERCER__IL	4512	4405	8974
MONROE__IL	6788	9468	16370
MONTGOMERY__IL	5979	6851	12930
MORGAN__IL	5650	9392	15180
MOULTRIE__IL	2388	4028	6466
OGLE__IL	9018	14918	24091
PEORIA__IL	41121	41051	82771
PERRY__IL	4770	5589	10425
PIATT__IL	3124	5392	8586
PIKE__IL	2849	5032	7980
POPE__IL	918	1500	2436
PULASKI__IL	1372	1720	3108
PUTNAM__IL	1704	1623	3352
RANDOLPH__IL	6771	8076	14956
RICHLAND__IL	2529	5153	7749
ROCK_ISLAND__IL	39880	29663	69972
ST__CLAIR__IL	62410	50203	113189
SALINE__IL	4697	7057	11814
SANGAMON__IL	38630	55904	95375
SCHUYLER__IL	1594	2403	4031
SCOTT__IL	927	1696	2636
SHELBY__IL	3744	6753	10577
STARK__IL	1189	1841	3061
STEPHENSON__IL	8913	12212	21320
TAZEWELL__IL	25814	36058	62338
UNION__IL	3735	5333	9119
VERMILION__IL	14726	18731	33714
WABASH__IL	1752	4212	6006
WARREN__IL	3938	4474	8457
WASHINGTON__IL	2986	5072	8104
WAYNE__IL	2139	6102	8287
WHITE__IL	3071	5180	8301
WHITESIDE__IL	13723	12959	26873
WILL__IL	115625	129098	246409
WILLIAMSON__IL	11685	18086	29960
WINNEBAGO__IL	59740	60782	121425
WOODFORD__IL	6005	12698	18802
ADAMS__IN	3512	9734	13340
ALLEN__IN	46710	82013	129609
BARTHOLOMEW__IN	9191	19093	28515
BENTON__IN	1135	2797	3992
BLACKFORD__IN	1903	3447	5380
BOONE__IN	5636	17055	22898
BROWN__IN	2730	4512	7330
CARROLL__IN	2689	5868	8638
CASS__IN	4315	9480	13931
CLARK__IN	17648	24495	42337
CLAY__IN	3333	7361	10783
CLINTON__IN	3335	8471	11877
CRAWFORD__IN	1932	2609	4574
DAVIESS__IN	2573	7936	10599
DEARBORN__IN	6596	14231	20969
DECATUR__IN	2621	7499	10199
DEKALB__IN	4810	10468	15403
DELAWARE__IN	20436	27064	47939
DUBOIS__IN	5210	11726	17066
ELKHART__IN	17966	42967	61380
FAYETTE__IN	3626	5761	9468
FLOYD__IN	13857	19877	33890
FOUNTAIN__IN	2477	5260	7804
FRANKLIN__IN	2925	6977	9992
FULTON__IN	2607	6027	8703
GIBSON__IN	5378	9133	14614
GRANT__IN	8509	18769	27460
GREENE__IN	4606	8609	13352
HAMILTON__IN	26388	77887	104906
HANCOCK__IN	6912	20771	27867
HARRISON__IN	6171	11015	17310
HENDRICKS__IN	13548	38430	52302
HENRY__IN	7176	13137	20504
HOWARD__IN	12998	23714	37021
HUNTINGTON__IN	3877	11617	15627
JACKSON__IN	5092	11083	16309
JASPER__IN	3678	8056	11844
JAY__IN	2740	5427	8232
JEFFERSON__IN	5117	7763	12971
JENNINGS__IN	3538	6864	10517
JOHNSON__IN	13109	37765	51255
KNOX__IN	5649	9990	15746
KOSCIUSKO__IN	5977	22136	28360
LAGRANGE__IN	2523	6430	9003
LAKE__IN	114743	71903	188022
LAPORTE__IN	21114	20916	42606
LAWRENCE__IN	5346	12207	17698
MADISON__IN	21882	32526	54855
MARION__IN	162249	156072	320838
MARSHALL__IN	5593	12074	17814
MARTIN__IN	1522	3414	4996
MIAMI__IN	3886	9600	13628
MONROE__IN	26965	22834	50467
MONTGOMERY__IN	3536	10901	14548
MORGAN__IN	6650	19197	26029
NEWTON__IN	2032	3757	5848
NOBLE__IN	4703	10859	15679
OHIO__IN	1139	1796	2958
ORANGE__IN	2885	5683	8652
OWEN__IN	2536	5000	7604
PARKE__IN	2362	4550	6971
PERRY__IN	4131	4137	8315
PIKE__IN	2418	3745	6212
PORTER__IN	29388	34794	64873
POSEY__IN	4085	7833	11986
PULASKI__IN	1750	3797	5614
PUTNAM__IN	4103	8908	13136
RANDOLPH__IN	3812	7172	11092
RIPLEY__IN	3510	8224	11834
RUSH__IN	2000	5363	7421
ST__JOSEPH__IN	52637	55254	108619
SCOTT__IN	3822	4793	8677
SHELBY__IN	4519	11397	16027
SPENCER__IN	3920	5934	9924
STARKE__IN	3987	4846	8937
STEUBEN__IN	4345	8433	12905
SULLIVAN__IN	3341	4999	8394
SWITZERLAND__IN	1479	2161	3671
TIPPECANOE__IN	20818	30897	52360
TIPTON__IN	2203	5628	7892
UNION__IN	1045	2266	3344
VANDERBURGH__IN	28767	41463	70654
VERMILLION__IN	3424	3536	7017
VIGO__IN	18426	20988	39744
WABASH__IN	3920	9607	13602
WARREN__IN	1356	2565	3960
