_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
AUTAUGA__AL	6093	17403	23641
BALDWIN__AL	19386	61271	81413
BARBOUR__AL	5697	5866	11630
BIBB__AL	2299	6262	8644
BLOUNT__AL	3522	20389	24267
BULLOCK__AL	4011	1391	5415
BUTLER__AL	4188	5485	9709
CALHOUN__AL	16334	32348	49242
CHAMBERS__AL	6799	8067	14956
CHEROKEE__AL	2306	7298	9745
CHILTON__AL	3674	13960	17785
CHOCTAW__AL	3636	4223	7894
CLARKE__AL	5914	7466	13435
CLAY__AL	1760	4984	6819
CLEBURNE__AL	1168	5216	6492
COFFEE__AL	5079	14919	20128
COLBERT__AL	9703	14739	24843
CONECUH__AL	3429	3470	6943
COOSA__AL	2273	3248	5563
COVINGTON__AL	3240	12444	15787
CRENSHAW__AL	1938	4319	6291
CULLMAN__AL	5864	28896	35305
DALE__AL	5270	13886	19320
DALLAS__AL	13986	6798	20852
DEKALB__AL	5658	17957	24015
ELMORE__AL	8301	25777	34315
ESCAMBIA__AL	5188	9375	14674
ETOWAH__AL	13497	30595	44737
FAYETTE__AL	1994	5883	7957
FRANKLIN__AL	3469	8048	11693
GENEVA__AL	2134	9417	11657
GREENE__AL	4408	876	5305
HALE__AL	4982	3200	8214
HENRY__AL	3018	5585	8648
HOUSTON__AL	12225	29254	41735
JACKSON__AL	6374	14083	20874
JEFFERSON__AL	166121	149921	318524
LAMAR__AL	1614	5419	7075
LAUDERDALE__AL	13329	24068	38104
LAWRENCE__AL	5164	9277	14680
LEE__AL	21498	32230	54325
LIMESTONE__AL	9536	23598	33551
LOWNDES__AL	5449	1809	7278
MACON__AL	9450	1396	10877
MADISON__AL	64117	86965	152899
MARENGO__AL	5926	5516	11471
MARION__AL	2600	9536	12355
MARSHALL__AL	7038	25727	33166
MOBILE__AL	82181	98049	181424
MONROE__AL	5025	6175	11252
MONTGOMERY__AL	62166	42031	104743
MORGAN__AL	13895	36014	50542
PERRY__AL	4457	1679	6159
PICKENS__AL	4594	5434	10067
PIKE__AL	5879	8004	13955
RANDOLPH__AL	3064	7175	10384
RUSSELL__AL	10085	8705	18915
ST__CLAIR__AL	6091	27649	34088
SHELBY__AL	20625	69060	90643
SUMTER__AL	5264	1731	7020
TALLADEGA__AL	13779	20112	34204
TALLAPOOSA__AL	6063	13116	19311
TUSCALOOSA__AL	32796	45405	78912
WALKER__AL	7420	20722	28652
WASHINGTON__AL	3067	5654	8775
WILCOX__AL	4612	1868	6494
WINSTON__AL	1757	8103	10031
APACHE__AZ	15390	8551	24262
COCHISE__AZ	18943	29026	48820
COCONINO__AZ	31433	22186	54344
GILA__AZ	7884	14095	22333
GRAHAM__AZ	3487	8376	12007
GREENLEE__AZ	1165	1712	2913
LA_PAZ__AZ	1929	3509	5552
MARICOPA__AZ	602166	746448	1364962
MOHAVE__AZ	22092	44333	67605
NAVAJO__AZ	15579	19761	35800
PIMA__AZ	206254	182406	393428
PINAL__AZ	44254	59421	104883
SANTA_CRUZ__AZ	8683	4518	13303
YAVAPAI__AZ	36889	61192	99648
YUMA__AZ	18559	24577	43615
ARKANSAS__AR	2619	4185	6978
ASHLEY__AR	2976	5406	8642
BAXTER__AR	6539	12852	19981
BENTON__AR	23331	51124	76073
BOONE__AR	4435	10575	15474
BRADLEY__AR	1680	2262	4041
CALHOUN__AR	691	1462	2217
CARROLL__AR	4172	6083	10579
CHICOT__AR	3043	2119	5208
CLARK__AR	4267	4608	9094
CLAY__AR	2244	3032	5511
CLEBURNE__AR	2951	7962	11338
CLEVELAND__AR	911	2451	3505
COLUMBIA__AR	3554	5861	9558
CONWAY__AR	3149	4691	8138
CRAIGHEAD__AR	11294	18881	30968
CRAWFORD__AR	5238	14688	20532
CRITTENDEN__AR	10330	7650	18255
CROSS__AR	2580	4393	7130
DALLAS__AR	1471	1757	3318
DESHA__AR	2569	1999	4678
DREW__AR	2598	3860	6610
