_PARTIES	Democrat	Republican	Total
FAULKNER__AR	14955	25362	41179
FRANKLIN__AR	1869	4411	6475
FULTON__AR	1819	2702	4676
GARLAND__AR	15899	26825	43719
GRANT__AR	1562	5023	6793
GREENE__AR	4541	8578	13612
HEMPSTEAD__AR	2869	4273	7349
HOT_SPRING__AR	4288	7209	11955
HOWARD__AR	1746	2957	4846
INDEPENDENCE__AR	3688	8255	12299
IZARD__AR	1792	3193	5218
JACKSON__AR	2207	3118	5582
JEFFERSON__AR	18465	10655	29689
JOHNSON__AR	3034	4922	8180
LAFAYETTE__AR	1133	1685	2902
LAWRENCE__AR	2138	3357	5830
LEE__AR	2263	1454	3763
LINCOLN__AR	1710	2513	4406
LITTLE_RIVER__AR	1753	3247	5152
LOGAN__AR	2286	5350	7907
LONOKE__AR	5968	17242	23741
MADISON__AR	2144	3972	6328
MARION__AR	2384	4524	7162
MILLER__AR	4869	9913	15063
MISSISSIPPI__AR	6667	6976	14010
MONROE__AR	1615	1754	3449
MONTGOMERY__AR	1092	2365	3622
NEVADA__AR	1474	2062	3635
NEWTON__AR	1182	2588	3960
OUACHITA__AR	4346	5427	9960
PERRY__AR	1352	2743	4279
PHILLIPS__AR	5695	3097	8969
PIKE__AR	1089	2727	3966
POINSETT__AR	2742	4903	7928
POLK__AR	1957	5473	7681
POPE__AR	6002	15568	22079
PRAIRIE__AR	1048	2223	3381
PULASKI__AR	88854	70212	161343
RANDOLPH__AR	2469	3615	6319
ST__FRANCIS__AR	5486	3917	9505
SALINE__AR	12695	30981	44653
SCOTT__AR	1053	2791	3995
SEARCY__AR	961	2726	3847
SEBASTIAN__AR	13673	28637	43212
SEVIER__AR	1291	3125	4580
SHARP__AR	2436	4535	7252
STONE__AR	1598	3534	5324
UNION__AR	6190	10677	17179
VAN_BUREN__AR	2151	4276	6703
WASHINGTON__AR	29021	37963	68380
WHITE__AR	6732	19467	26955
WOODRUFF__AR	1412	1206	2761
YELL__AR	2003	3808	6036
ALAMEDA__CA	489106	119555	621029
ALPINE__CA	422	252	692
AMADOR__CA	7813	10561	18810
BUTTE__CA	49013	46706	98325
CALAVERAS__CA	9813	12835	23306
COLUSA__CA	2569	3733	6429
CONTRA_COSTA__CA	306983	136436	451650
DEL_NORTE__CA	4323	4967	9531
EL_DORADO__CA	40529	50314	92926
FRESNO__CA	136706	131015	272289
GLENN__CA	3734	5910	9879
HUMBOLDT__CA	39692	21713	63727
IMPERIAL__CA	24162	14008	38820
INYO__CA	3743	4523	8533
KERN__CA	93457	134793	232850
KINGS__CA	14747	19710	35108
LAKE__CA	14854	9935	25542
LASSEN__CA	3586	7483	11387
LOS_ANGELES__CA	2295853	956425	3318248
MADERA__CA	17952	23583	42355
MARIN__CA	109320	28384	140197
MARIPOSA__CA	4100	5298	9651
MENDOCINO__CA	27843	10721	40016
MERCED__CA	34031	28704	63808
MODOC__CA	1313	2981	4420
MONO__CA	3093	2354	5571
MONTEREY__CA	88453	38797	129783
NAPA__CA	38849	19484	59642
NEVADA__CA	28617	25663	55647
ORANGE__CA	549558	579064	1153687
PLACER__CA	75112	94647	173107
PLUMAS__CA	4715	6035	11028
RIVERSIDE__CA	325017	310041	647299
SACRAMENTO__CA	316506	213583	541101
SAN_BENITO__CA	11917	7425	19705
SAN_BERNARDINO__CA	315720	277408	606334
SAN_DIEGO__CA	666581	541032	1231047
SAN_FRANCISCO__CA	322220	52292	382865
SAN_JOAQUIN__CA	113974	91607	209349
SAN_LUIS_OBISPO__CA	68176	61055	132653
SAN_MATEO__CA	222826	75057	303292
SANTA_BARBARA__CA	105614	65585	174912
SANTA_CLARA__CA	462241	190039	665589
SANTA_CRUZ__CA	98745	25244	127483
SHASTA__CA	28867	49588	80390
SIERRA__CA	743	1158	1991
SISKIYOU__CA	9292	11520	21470
SOLANO__CA	102095	56035	160973
SONOMA__CA	168888	55127	229351
STANISLAUS__CA	80279	77497	161015
SUTTER__CA	13412	18911	32941
TEHAMA__CA	8945	14843	24436
TRINITY__CA	3233	2940	6374
TULARE__CA	43634	59765	105206
TUOLUMNE__CA	11532	14988	27181
VENTURA__CA	187601	145853	339800
YOLO__CA	53488	24592	79749
YUBA__CA	8866	12007	21401
ADAMS__CO	93443	63976	160499
ALAMOSA__CO	3521	2635	6286
ARAPAHOE__CO	148218	113866	266148
ARCHULETA__CO	2836	3638	6625
BACA__CO	536	1572	2175
BENT__CO	799	1077	1920
BOULDER__CO	124159	44904	171763
BROOMFIELD__CO	16168	12757	29453
CHAFFEE__CO	4861	4873	9920
CHEYENNE__CO	198	890	1111
CLEAR_CREEK__CO	3332	2300	5767
CONEJOS__CO	2154	1653	3874
COSTILLA__CO	1245	415	1697
CROWLEY__CO	552	976	1558
CUSTER__CO	912	1672	2629
DELTA__CO	5084	10067	15434
DENVER__CO	204882	62567	271533
DOLORES__CO	369	818	1217
DOUGLAS__CO	61960	88108	151819
EAGLE__CO	13187	8179	21652
ELBERT__CO	3819	9108	13206
EL_PASO__CO	108899	160318	273175
FREMONT__CO	6844	12668	19919
GARFIELD__CO	11357	11359	23082
GILPIN__CO	1954	1253	3301
GRAND__CO	4037	4128	8308
GUNNISON__CO	5556	3131	8870
HINSDALE__CO	240	344	599
HUERFANO__CO	1989	1580	3643
JACKSON__CO	277	624	913
JEFFERSON__CO	158153	131627	295062
KIOWA__CO	178	650	852
KIT_CARSON__CO	912	2455	3442
LAKE__CO	1859	1078	3002
LA_PLATA__CO	16057	11503	27979
LARIMER__CO	89822	73641	166373
LAS_ANIMAS__CO	3562	3086	6761
LINCOLN__CO	546	1717	2304
LOGAN__CO	2846	6002	8977
MESA__CO	24008	44578	69631
MINERAL__CO	270	334	623
MOFFAT__CO	1582	4135	5871
MONTEZUMA__CO	4661	6961	11825
MONTROSE__CO	6495	12199	19153
MORGAN__CO	3813	6272	10234
OTERO__CO	3546	4393	8064
OURAY__CO	1636	1367	3060
PARK__CO	4250	4896	9383
PHILLIPS__CO	622	1612	2260
PITKIN__CO	7349	2484	9966
PROWERS__CO	1487	3043	4615
PUEBLO__CO	41097	30257	72427
RIO_BLANCO__CO	655	2437	3147
RIO_GRANDE__CO	2448	2930	5444
ROUTT__CO	8270	4725	13199
SAGUACHE__CO	1730	953	2747
SAN_JUAN__CO	264	218	496
SAN_MIGUEL__CO	3349	933	4350
SEDGWICK__CO	468	857	1351
SUMMIT__CO	9802	4883	14899
TELLER__CO	4513	8146	12906
WASHINGTON__CO	529	1949	2513
WELD__CO	47292	56526	105866
YUMA__CO	1117	3286	4483
FAIRFIELD__CT	241320	166845	411096
HARTFORD__CT	268301	138716	411785
LITCHFIELD__CT	51037	46176	98870
MIDDLESEX__CT	52966	32907	87155
NEW_HAVEN__CT	232820	144465	381739
NEW_LONDON__CT	74745	48460	124765
TOLLAND__CT	44969	29262	75406
WINDHAM__CT	34133	21210	56269
KENT__DE	36392	29827	66925
NEW_CASTLE__DE	178768	74608	256417
SUSSEX__DE	40299	47939	89070
DISTRICT_OF_COLUMBIA__DC	245800	17367	265853
ALACHUA__FL	75565	48513	125519
BAKER__FL	2327	8672	11059
BAY__FL	23653	56683	81127
BRADFORD__FL	3430	8136	11676
BREVARD__FL	127620	157589	287859
BROWARD__FL	492640	237729	733899
CALHOUN__FL	1821	4345	6244
CHARLOTTE__FL	39031	45205	85158
CITRUS__FL	31460	43706	76158
CLAY__FL	26697	67203	94577
COLLIER__FL	54450	86379	141988
COLUMBIA__FL	9171	18670	28128
DESOTO__FL	4383	5632	10131
DIXIE__FL	1925	5194	7264
DUVAL__FL	202618	210537	415761
ESCAMBIA__FL	61572	91411	154447
FLAGLER__FL	24726	23951	49031
FRANKLIN__FL	2134	3818	6029
GADSDEN__FL	15582	6811	22510
GILCHRIST__FL	1996	5656	7819
GLADES__FL	1674	2533	4261
GULF__FL	2149	4980	7205
HAMILTON__FL	2364	3179	5587
HARDEE__FL	2568	4763	7412
HENDRY__FL	4998	5780	10879
HERNANDO__FL	41886	45021	87901
HIGHLANDS__FL	18135	26221	44783
HILLSBOROUGH__FL	272963	236355	513312
HOLMES__FL	1446	7033	8589
INDIAN_RIVER__FL	29710	40176	70591
JACKSON__FL	7671	13717	21565
JEFFERSON__FL	4088	3797	7957
LAFAYETTE__FL	642	2679	3359
LAKE__FL	62948	82802	146926
LEE__FL	119701	147608	269276
LEON__FL	91747	55705	148608
LEVY__FL	6711	11754	18725
LIBERTY__FL	895	2339	3278
MADISON__FL	4270	4544	8907
MANATEE__FL	70034	80721	151994
MARION__FL	70839	89628	162022
MARTIN__FL	33508	44143	78294
MIAMI_DADE__FL	499831	360551	863486
MONROE__FL	20907	18933	40272
NASSAU__FL	10618	27403	38304
OKALOOSA__FL	25872	68789	95529
OKEECHOBEE__FL	5108	7561	12786
ORANGE__FL	273009	186832	462711
OSCEOLA__FL	59962	40086	100670
PALM_BEACH__FL	361271	226037	590500
PASCO__FL	102417	110104	214866
PINELLAS__FL	248299	210066	463282
POLK__FL	113865	128878	244833
PUTNAM__FL	13236	19637	33171
ST__JOHNS__FL	35791	69222	105844
ST__LUCIE__FL	67125	52512	120579
SANTA_ROSA__FL	19470	55972	76185
SARASOTA__FL	102686	102897	207353
SEMINOLE__FL	99335	105070	205895
SUMTER__FL	17655	30866	48868
SUWANNEE__FL	4916	12534	17662
TAYLOR__FL	2803	6457	9366
UNION__FL	1299	3933	5285
VOLUSIA__FL	127795	113938	243824
WAKULLA__FL	5311	8877	14376
WALTON__FL	7174	19561	27046
WASHINGTON__FL	2863	8178	11131
APPLING__GA	1846	5085	6996
ATKINSON__GA	938	1941	2904
BACON__GA	817	3089	3938
BAKER__GA	846	828	1687
BALDWIN__GA	8587	7823	16537
BANKS__GA	1027	5120	6241
BARROW__GA	6657	17625	24582
BARTOW__GA	9662	25976	36093
BEN_HILL__GA	2590	3417	6036
BERRIEN__GA	1471	4901	6449
BIBB__GA	38987	27037	66368
BLECKLEY__GA	1380	3657	5071
BRANTLEY__GA	1119	5080	6277
BROOKS__GA	2669	3507	6201
BRYAN__GA	3636	9112	12845
BULLOCH__GA	9586	14174	23920
BURKE__GA	5233	4344	9626
BUTTS__GA	3065	5947	9091
CALHOUN__GA	1342	862	2211
CAMDEN__GA	6482	10502	17084
CANDLER__GA	1209	2286	3518
CARROLL__GA	14334	28661	43498
CATOOSA__GA	6025	18218	24496
CHARLTON__GA	1197	2466	3685
CHATHAM__GA	62755	46829	110238
CHATTAHOOCHEE__GA	830	811	1653
CHATTOOGA__GA	2596	5572	8307
CHEROKEE__GA	22350	70279	93772
CLARKE__GA	29591	15333	45510
CLAY__GA	879	558	1440
CLAYTON__GA	82527	16506	99438
CLINCH__GA	989	1678	2696
COBB__GA	141216	170957	315444
COFFEE__GA	4811	8872	13747
COLQUITT__GA	4139	9185	13435
COLUMBIA__GA	15703	39322	55351
COOK__GA	2075	3782	5903
COWETA__GA	15521	37571	53549
CRAWFORD__GA	1832	3358	5240
CRISP__GA	3085	4424	7550
DADE__GA	1612	4703	6408
DAWSON__GA	1632	8242	9974
DECATUR__GA	4424	5890	10374
DEKALB__GA	254594	65581	322301
DODGE__GA	2595	5543	8212
DOOLY__GA	2138	1991	4160
DOUGHERTY__GA	26135	12547	38846
DOUGLAS__GA	27825	26812	55083
EARLY__GA	2603	2711	5335
ECHOLS__GA	201	981	1187
EFFINGHAM__GA	4936	15230	20316
ELBERT__GA	3366	4868	8317
EMANUEL__GA	3068	5110	8242
EVANS__GA	1374	2462	3855
FANNIN__GA	2611	7807	10584
FAYETTE__GA	20313	38501	59321
FLOYD__GA	10691	23132	34213
FORSYTH__GA	15406	59166	75376
FRANKLIN__GA	1914	6069	8073
FULTON__GA	272000	130136	405628
GILMER__GA	2614	8408	11149
GLASCOCK__GA	210	1202	1428
GLYNN__GA	12676	20479	33341
GORDON__GA	4268	13113	17607
GRADY__GA	3539	5775	9365
GREENE__GA	3339	4532	7919
GWINNETT__GA	129025	158746	290147
HABERSHAM__GA	2900	11766	14808
HALL__GA	14457	44962	59928
HANCOCK__GA	3535	795	4344
HARALSON__GA	2248	8658	11097
HARRIS__GA	4184	10648	14908
HART__GA	3365	6537	10002
HEARD__GA	1042	3133	4225
HENRY__GA	40527	47115	88229
HOUSTON__GA	22094	33392	55931
IRWIN__GA	1197	2605	3828
JACKSON__GA	4950	17776	22960
JASPER__GA	1935	3916	5904
JEFF_DAVIS__GA	1356	3867	5278
JEFFERSON__GA	4149	3061	7234
JENKINS__GA	1482	1936	3440
JOHNSON__GA	1198	2426	3647
JONES__GA	4572	7782	12438
LAMAR__GA	2752	4873	7688
LANIER__GA	1062	1787	2873
LAURENS__GA	7769	12052	19937
LEE__GA	3100	9925	13087
LIBERTY__GA	10474	5828	16376
LINCOLN__GA	1650	2731	4416
LONG__GA	1288	2119	3450
LOWNDES__GA	17651	21296	39240
LUMPKIN__GA	2586	8326	11075
MCDUFFIE__GA	3989	5400	9544
MCINTOSH__GA	2905	3282	6236
MACON__GA	3251	1712	4984
MADISON__GA	2965	8226	11365
MARION__GA	1381	1772	3188
MERIWETHER__GA	4465	4982	9504
MILLER__GA	818	1899	2738
MITCHELL__GA	3872	4201	8120
MONROE__GA	4106	7933	12131
MONTGOMERY__GA	1045	2521	3590
MORGAN__GA	3091	5987	9151
MURRAY__GA	3026	8180	11382
MUSCOGEE__GA	44158	29568	74065
NEWTON__GA	20827	20337	41435
OCONEE__GA	4825	12120	17132
OGLETHORPE__GA	2232	4144	6447
PAULDING__GA	17229	39192	56985
PEACH__GA	5927	5173	11165
PICKENS__GA	2595	10004	12786
PIERCE__GA	1253	5500	6791
PIKE__GA	1575	6547	8203
POLK__GA	4052	9850	14113
PULASKI__GA	1377	2553	3953
PUTNAM__GA	3102	5966	9132
QUITMAN__GA	597	509	1114
RABUN__GA	2001	5487	7599
RANDOLPH__GA	1833	1370	3215
RICHMOND__GA	52100	26842	79333
ROCKDALE__GA	20526	16921	37706
SCHLEY__GA	479	1252	1738
SCREVEN__GA	3024	3423	6481
SEMINOLE__GA	1660	2315	3996
SPALDING__GA	10141	14885	25255
STEPHENS__GA	2705	7689	10517
STEWART__GA	1305	783	2105
SUMTER__GA	6454	5717	12235
TALBOT__GA	2369	1301	3700
TALIAFERRO__GA	643	339	990
TATTNALL__GA	1932	4730	6714
TAYLOR__GA	1536	2021	3583
TELFAIR__GA	1862	2486	4374
TERRELL__GA	2501	1890	4416
THOMAS__GA	7720	10642	18459
TIFT__GA	4749	9431	14257
TOOMBS__GA	2964	6658	9688
TOWNS__GA	1391	4292	5739
TREUTLEN__GA	1112	1826	2954
TROUP__GA	10455	15391	26028
TURNER__GA	1427	2096	3553
TWIGGS__GA	2402	2087	4519
UNION__GA	2486	8013	10634
UPSON__GA	4061	7291	11421
WALKER__GA	6095	17110	23542
WALTON__GA	8469	27253	36026
WARE__GA	4034	8311	12416
WARREN__GA	1554	1087	2660
WASHINGTON__GA	4607	4216	8863
WAYNE__GA	2858	7601	10560
WEBSTER__GA	515	588	1111
WHEELER__GA	794	1408	2210
WHITE__GA	2174	8467	10761
WHITFIELD__GA	8167	19230	27677
WILCOX__GA	978	2159	3163
WILKES__GA	2315	2705	5052
WILKINSON__GA	2298	2349	4673
WORTH__GA	2542	5780	8370
HAWAII__HI	50819	14866	66916
HONOLULU__HI	214239	88164	306813
KAUAI__HI	20416	6245	27224
MAUI__HI	39727	11154	51789
ADA__ID	82236	93328	179402
ADAMS__ID	728	1517	2320
BANNOCK__ID	14792	19356	35105
BEAR_LAKE__ID	502	2377	2943
BENEWAH__ID	1407	2646	4164
BINGHAM__ID	4424	12230	17155
BLAINE__ID	6947	3439	10571
BOISE__ID	1240	2433	3773
BONNER__ID	7840	11145	19547
BONNEVILLE__ID	11417	29334	41703
BOUNDARY__ID	1484	3078	4733
BUTTE__ID	318	1056	1410
CAMAS__ID	187	422	618
CANYON__ID	20147	42752	64246
CARIBOU__ID	553	2656	3302
CASSIA__ID	1332	6309	7842
CLARK__ID	64	305	375
CLEARWATER__ID	1211	2569	3906
CUSTER__ID	611	1694	2352
ELMORE__ID	2591	5665	8436
FRANKLIN__ID	600	4246	5073
FREMONT__ID	1065	4700	5880
GEM__ID	2166	5585	7947
GOODING__ID	1489	3765	5391
IDAHO__ID	2017	5895	8210
JEFFERSON__ID	1641	8540	10441
JEROME__ID	1794	4897	6847
KOOTENAI__ID	22120	38387	61932
LATAH__ID	9195	7988	17714
LEMHI__ID	1061	2938	4105
LEWIS__ID	479	1275	1804
LINCOLN__ID	545	1232	1870
MADISON__ID	1627	11131	13057
MINIDOKA__ID	1630	5087	6890
NEZ_PERCE__ID	7123	10357	17823
ONEIDA__ID	381	1724	2162
OWYHEE__ID	944	3024	4058
PAYETTE__ID	2415	5988	8613
POWER__ID	1027	1754	2842
SHOSHONE__ID	2521	2953	5666
TETON__ID	2302	2263	4658
TWIN_FALLS__ID	8621	19032	28344
VALLEY__ID	2405	2772	5296
WASHINGTON__ID	1241	3168	4506
ADAMS__IL	11794	18711	30823
ALEXANDER__IL	2189	1692	3937
BOND__IL	3843	3947	7924
BOONE__IL	11333	10403	22157
BROWN__IL	986	1544	2569
BUREAU__IL	8889	7911	17113
CALHOUN__IL	1423	1221	2699
CARROLL__IL	3965	3596	7674
CASS__IL	2690	2617	5408
CHAMPAIGN__IL	48597	33871	84143
CHRISTIAN__IL	6918	7872	15100
CLARK__IL	3742	4409	8288
CLAY__IL	2425	3926	6454
CLINTON__IL	7657	9357	17314
COLES__IL	11716	10978	23076
COOK__IL	1629024	487736	2137466
CRAWFORD__IL	3883	5070	9129
CUMBERLAND__IL	2055	3156	5321
DEKALB__IL	25784	18266	44818
DE_WITT__IL	3308	4348	7801
DOUGLAS__IL	3228	5005	8356
DUPAGE__IL	228698	183626	417973
EDGAR__IL	3743	4398	8255
EDWARDS__IL	1140	2137	3350
EFFINGHAM__IL	5262	11323	16835
FAYETTE__IL	3967	5499	9680
FORD__IL	2227	4079	6386
FRANKLIN__IL	8880	9404	18641
FULTON__IL	9732	6251	16323
GALLATIN__IL	1587	1212	2859
GREENE__IL	2619	3053	5807
GRUNDY__IL	11063	10687	22171
HAMILTON__IL	1796	2353	4264
HANCOCK__IL	4141	5161	9469
HARDIN__IL	892	1330	2255
HENDERSON__IL	2215	1541	3814
HENRY__IL	13181	11263	24785
IROQUOIS__IL	4643	8695	13596
JACKSON__IL	15248	9687	25532
JASPER__IL	2063	2964	5131
JEFFERSON__IL	7462	9302	17141
JERSEY__IL	5042	5329	10583
JO_DAVIESS__IL	6403	5170	11750
JOHNSON__IL	1871	3912	5901
KANE__IL	106756	83963	193299
KANKAKEE__IL	24750	22527	48016
KENDALL__IL	24742	21380	46631
KNOX__IL	14191	9419	23988
LAKE__IL	177242	118545	299105
LA_SALLE__IL	27443	21872	50185
LAWRENCE__IL	3016	3403	6536
LEE__IL	7765	8258	16318
LIVINGSTON__IL	6189	9191	15625
LOGAN__IL	5250	7429	12896
MCDONOUGH__IL	6783	6055	13042
MCHENRY__IL	72288	64845	139268
MCLEAN__IL	37689	36767	75750
MACON__IL	25487	24948	51216
MACOUPIN__IL	12090	9891	22373
MADISON__IL	68979	57177	128334
MARION__IL	8345	8691	17364
MARSHALL__IL	3081	3145	6333
MASON__IL	3542	3141	6808
MASSAC__IL	2693	4371	7186
MENARD__IL	2706	3672	6464
MERCER__IL	4887	3833	8848
MONROE__IL	7953	9881	18083
MONTGOMERY__IL	6491	6150	12871
MORGAN__IL	7467	7591	15353
MOULTRIE__IL	2668	3471	6260
OGLE__IL	11253	13144	24850
PEORIA__IL	45906	34579	81704
PERRY__IL	4701	5086	9995
PIATT__IL	3859	4991	8999
PIKE__IL	3024	4457	7616
POPE__IL	845	1343	2231
PULASKI__IL	1638	1593	3270
PUTNAM__IL	1900	1378	3337
RANDOLPH__IL	7395	7538	15202
RICHLAND__IL	3181	4329	7650
ROCK_ISLAND__IL	42210	25364	68401
ST__CLAIR__IL	76160	47958	125744
SALINE__IL	5083	6099	11428
SANGAMON__IL	51300	46945	99828
SCHUYLER__IL	1900	1833	3823
SCOTT__IL	1090	1455	2600
SHELBY__IL	4245	6396	10868
STARK__IL	1357	1513	2907
STEPHENSON__IL	11349	9909	21605
TAZEWELL__IL	29384	33247	63854
UNION__IL	3918	5003	9116
VERMILION__IL	16246	16054	32872
WABASH__IL	2462	3254	5782
WARREN__IL	4286	3637	8029
WASHINGTON__IL	3342	4473	7932
WAYNE__IL	2547	5390	8071
WHITE__IL	3315	3987	7453
WHITESIDE__IL	15607	10883	26906
WILL__IL	160406	122597	286420
WILLIAMSON__IL	12914	17387	30821
WINNEBAGO__IL	70034	53886	126031
WOODFORD__IL	6999	12191	19483
ADAMS__IN	4928	8404	13513
ALLEN__IN	71263	77793	150324
BARTHOLOMEW__IN	13567	17067	31043
BENTON__IN	1563	2183	3814
BLACKFORD__IN	2677	2690	5441
BOONE__IN	9752	16622	26647
BROWN__IN	3854	4060	8055
CARROLL__IN	3736	4858	8736
CASS__IN	7011	8346	15653
CLARK__IN	21953	25326	47725
CLAY__IN	4954	6267	11395
CLINTON__IN	5307	6919	12392
CRAWFORD__IN	2286	2393	4744
DAVIESS__IN	3370	7098	10586
DEARBORN__IN	7123	14886	22217
DECATUR__IN	3892	6449	10488
DEKALB__IN	7175	9780	17149
DELAWARE__IN	28384	20916	49863
DUBOIS__IN	8748	9526	18565
ELKHART__IN	31398	39396	71458
FAYETTE__IN	4389	4917	9462
FLOYD__IN	16263	19957	36537
FOUNTAIN__IN	3094	4158	7410
FRANKLIN__IN	3404	7018	10610
FULTON__IN	3702	5147	9006
GIBSON__IN	6455	8449	15095
GRANT__IN	11293	14734	26299
GREENE__IN	5709	7691	13629
HAMILTON__IN	49704	78401	129064
HANCOCK__IN	11874	22008	34253
HARRISON__IN	7288	10551	18091
HENDRICKS__IN	24548	39728	64955
HENRY__IN	10059	10896	21319
HOWARD__IN	17871	20248	38624
HUNTINGTON__IN	5843	10291	16328
JACKSON__IN	7354	9726	17374
JASPER__IN	5044	7669	12875
JAY__IN	3748	4401	8315
JEFFERSON__IN	6255	7053	13490
JENNINGS__IN	5312	6261	11839
JOHNSON__IN	21553	36487	58644
KNOX__IN	7569	8639	16424
KOSCIUSKO__IN	9236	20488	30134
LAGRANGE__IN	3663	5702	9491
LAKE__IN	139301	67742	208757
LAPORTE__IN	28258	17918	46919
LAWRENCE__IN	7208	11018	18534
MADISON__IN	30152	26403	57340
MARION__IN	241987	134313	379362
MARSHALL__IN	7889	10406	18550
MARTIN__IN	1706	3122	4903
MIAMI__IN	5564	8312	14113
MONROE__IN	41450	21118	63215
MONTGOMERY__IN	6013	9060	15285
MORGAN__IN	10330	18129	28811
NEWTON__IN	2625	3301	6045
NOBLE__IN	7064	9673	16974
OHIO__IN	1158	1713	2918
ORANGE__IN	3390	4536	8086
OWEN__IN	3570	4415	8170
PARKE__IN	2924	3909	6964
PERRY__IN	5141	3202	8490
PIKE__IN	2700	3221	6028
PORTER__IN	39178	33857	73916
POSEY__IN	5828	6804	12771
PULASKI__IN	2466	3388	5964
PUTNAM__IN	6334	8086	14646
RANDOLPH__IN	4839	5788	10808
RIPLEY__IN	4187	7794	12188
RUSH__IN	3229	4271	7629
ST__JOSEPH__IN	68710	48510	118389
SCOTT__IN	4271	4445	8877
SHELBY__IN	6987	10333	17574
SPENCER__IN	5039	5001	10181
STARKE__IN	4778	4473	9466
STEUBEN__IN	6284	7674	14146
SULLIVAN__IN	4284	4343	8782
SWITZERLAND__IN	1638	1940	3640
TIPPECANOE__IN	37781	29822	68436
TIPTON__IN	3250	4452	7827
UNION__IN	1224	2061	3348
VANDERBURGH__IN	39423	37512	77656
VERMILLION__IN	4003	3010	7135
VIGO__IN	25040	18121	43706
WABASH__IN	5456	8238	13871
WARREN__IN	1755	2166	3998
