_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
AUTAUGA__AL	5936	18172	24973
BALDWIN__AL	18458	72883	95215
BARBOUR__AL	4871	5454	10469
BIBB__AL	1874	6738	8819
BLOUNT__AL	2156	22859	25588
BULLOCK__AL	3530	1140	4710
BUTLER__AL	3726	4901	8732
CALHOUN__AL	13242	32865	47864
CHAMBERS__AL	5784	7843	13900
CHEROKEE__AL	1547	8953	10733
CHILTON__AL	2911	15081	18369
CHOCTAW__AL	3109	4106	7292
CLARKE__AL	5749	7140	13031
CLAY__AL	1237	5245	6624
CLEBURNE__AL	684	5764	6593
COFFEE__AL	4221	15875	20767
COLBERT__AL	7312	16746	24915
CONECUH__AL	3080	3420	6585
COOSA__AL	1782	3381	5252
COVINGTON__AL	2387	13267	15940
CRENSHAW__AL	1664	4513	6267
CULLMAN__AL	3798	32989	37873
DALE__AL	4413	13808	18749
DALLAS__AL	12836	5789	18792
DEKALB__AL	3622	21405	25826
ELMORE__AL	8443	27634	37260
ESCAMBIA__AL	4605	9935	14845
ETOWAH__AL	10442	32353	44164
FAYETTE__AL	1362	6712	8249
FRANKLIN__AL	2197	9466	12040
GENEVA__AL	1525	9994	11758
GREENE__AL	4013	838	4880
HALE__AL	4775	3173	8040
HENRY__AL	2292	5632	8072
HOUSTON__AL	10664	30728	42639
JACKSON__AL	3673	16672	20984
JEFFERSON__AL	156873	134768	304191
LAMAR__AL	1036	5823	6966
LAUDERDALE__AL	9952	27899	39525
LAWRENCE__AL	3627	10833	14829
LEE__AL	21230	34617	59191
LIMESTONE__AL	9468	29067	40294
LOWNDES__AL	4883	1751	6684
MACON__AL	7566	1431	9140
MADISON__AL	62822	89520	163389
MARENGO__AL	5615	5233	10994
MARION__AL	1432	11274	12984
MARSHALL__AL	4917	29233	35316
MOBILE__AL	72186	95116	172737
MONROE__AL	4332	5795	10271
MONTGOMERY__AL	58916	34003	95878
MORGAN__AL	11254	37486	50644
PERRY__AL	3824	1407	5278
PICKENS__AL	3972	5456	9542
PIKE__AL	5056	7693	13168
RANDOLPH__AL	2291	7705	10187
RUSSELL__AL	9579	9210	19256
ST__CLAIR__AL	5589	31651	38400
SHELBY__AL	22977	73020	101254
SUMTER__AL	4746	1581	6411
TALLADEGA__AL	12121	20614	33407
TALLAPOOSA__AL	5519	13594	19486
TUSCALOOSA__AL	31762	47723	82700
WALKER__AL	4497	24266	29472
WASHINGTON__AL	2374	6042	8533
WILCOX__AL	4339	1737	6118
WINSTON__AL	872	9228	10313
APACHE__AZ	17083	8240	27661
COCHISE__AZ	17450	28092	50015
COCONINO__AZ	32404	21108	59784
GILA__AZ	7003	14182	22312
GRAHAM__AZ	3301	8025	12134
GREENLEE__AZ	1092	1892	3270
LA_PAZ__AZ	1575	4003	5951
MARICOPA__AZ	702907	747361	1567834
MOHAVE__AZ	17455	58282	79943
NAVAJO__AZ	16459	20577	40294
PIMA__AZ	224661	167428	421640
PINAL__AZ	47892	72819	129546
SANTA_CRUZ__AZ	11690	3897	16433
YAVAPAI__AZ	35590	71330	114450
YUMA__AZ	24605	25165	53010
ARKANSAS__AR	1939	3826	6212
ASHLEY__AR	2408	5338	8083
BAXTER__AR	4169	14682	19766
BENTON__AR	28005	60871	96824
BOONE__AR	2926	12235	16111
BRADLEY__AR	1317	2164	3653
CALHOUN__AR	639	1556	2269
CARROLL__AR	3342	6786	10758
CHICOT__AR	2350	1716	4176
CLARK__AR	3620	4404	8526
CLAY__AR	1199	3781	5200
CLEBURNE__AR	2101	9458	12085
CLEVELAND__AR	723	2462	3354
COLUMBIA__AR	3140	5456	8887
CONWAY__AR	2656	4849	7927
CRAIGHEAD__AR	10538	22892	35573
CRAWFORD__AR	4488	16686	22450
CRITTENDEN__AR	8410	6964	15952
CROSS__AR	1999	4584	6874
DALLAS__AR	1165	1509	2771
DESHA__AR	2228	1919	4257
DREW__AR	2365	3968	6595
FAULKNER__AR	14629	29346	47527
FRANKLIN__AR	1376	5039	6770
FULTON__AR	1067	3471	4772
GARLAND__AR	12311	26087	40805
GRANT__AR	1373	5725	7445
GREENE__AR	3071	10720	14600
HEMPSTEAD__AR	2377	4401	7049
HOT_SPRING__AR	3149	8172	11944
HOWARD__AR	1351	3157	4674
INDEPENDENCE__AR	2881	9936	13614
IZARD__AR	1113	4042	5448
JACKSON__AR	1583	3267	5156
JEFFERSON__AR	15772	9250	25894
JOHNSON__AR	2427	6091	9112
LAFAYETTE__AR	1032	1758	2860
LAWRENCE__AR	1263	4064	5685
LEE__AR	1735	1229	3026
LINCOLN__AR	1252	2455	3826
LITTLE_RIVER__AR	1397	3605	5227
LOGAN__AR	1715	5746	7921
LONOKE__AR	5664	19958	27100
MADISON__AR	1588	4928	6841
MARION__AR	1434	5336	7107
MILLER__AR	4273	11294	16091
MISSISSIPPI__AR	5670	7061	13204
MONROE__AR	1312	1489	2884
MONTGOMERY__AR	748	2643	3559
NEVADA__AR	1157	2000	3246
NEWTON__AR	699	2875	3753
OUACHITA__AR	4321	5351	9935
PERRY__AR	1049	3008	4306
PHILLIPS__AR	4310	2446	6953
PIKE__AR	685	3150	3981
POINSETT__AR	1880	5502	7722
POLK__AR	1212	6618	8231
POPE__AR	5000	16256	22569
PRAIRIE__AR	814	2505	3444
PULASKI__AR	89574	61257	159776
RANDOLPH__AR	1425	4509	6379
ST__FRANCIS__AR	4031	3195	7430
SALINE__AR	13256	35863	52100
SCOTT__AR	602	2731	3510
SEARCY__AR	601	2955	3728
SEBASTIAN__AR	12300	29127	44637
SEVIER__AR	1075	3282	4562
SHARP__AR	1472	5407	7249
STONE__AR	1203	4113	5618
UNION__AR	5855	10456	16894
VAN_BUREN__AR	1549	5382	7339
WASHINGTON__AR	33366	41476	81861
WHITE__AR	5170	21077	27219
WOODRUFF__AR	1118	1347	2571
YELL__AR	1480	4608	6439
ALAMEDA__CA	514842	95922	654266
ALPINE__CA	334	217	602
AMADOR__CA	6004	10485	17734
BUTTE__CA	41567	45144	95564
CALAVERAS__CA	7944	13511	23136
COLUSA__CA	2661	3551	6632
CONTRA_COSTA__CA	319287	115956	466175
DEL_NORTE__CA	3485	5134	9558
EL_DORADO__CA	36404	49247	93591
FRESNO__CA	141341	124049	282319
GLENN__CA	3065	5788	9470
HUMBOLDT__CA	33200	18373	59246
IMPERIAL__CA	32667	12704	48091
INYO__CA	3155	4248	8086
KERN__CA	98689	129584	244163
KINGS__CA	13617	18093	33915
LAKE__CA	11496	10599	24496
LASSEN__CA	2224	7574	10524
LOS_ANGELES__CA	2464364	769743	3434308
MADERA__CA	17029	23357	43112
MARIN__CA	108707	21771	139273
MARIPOSA__CA	3122	5185	8877
MENDOCINO__CA	22079	10888	37477
MERCED__CA	37317	28725	70789
MODOC__CA	877	2696	3788
MONO__CA	2773	2111	5276
MONTEREY__CA	89088	34895	133408
NAPA__CA	39199	17411	61372
NEVADA__CA	26053	23365	54935
