_PARTIES	Democrat	Republican	Total
ORANGE__CA	609961	507148	1197521
PLACER__CA	73509	95138	182839
PLUMAS__CA	3459	5420	9676
RIVERSIDE__CA	373695	333243	751391
SACRAMENTO__CA	326023	189789	559330
SAN_BENITO__CA	12521	7841	21924
SAN_BERNARDINO__CA	340833	271240	653983
SAN_DIEGO__CA	735476	477766	1306400
SAN_FRANCISCO__CA	345084	37688	405792
SAN_JOAQUIN__CA	121124	88936	224166
SAN_LUIS_OBISPO__CA	67107	56164	135009
SAN_MATEO__CA	237882	57929	314384
SANTA_BARBARA__CA	107142	56365	176786
SANTA_CLARA__CA	511684	144826	703709
SANTA_CRUZ__CA	95249	22438	128821
SHASTA__CA	22301	51778	80053
SIERRA__CA	601	1048	1830
SISKIYOU__CA	7234	11341	20492
SOLANO__CA	102360	51920	166113
SONOMA__CA	160435	51408	231253
STANISLAUS__CA	81647	78494	172146
SUTTER__CA	13076	18176	33523
TEHAMA__CA	6809	15494	23908
TRINITY__CA	2214	2812	5686
TULARE__CA	47585	58299	112334
TUOLUMNE__CA	9123	14551	25529
VENTURA__CA	194402	132323	351726
YOLO__CA	54752	20739	82090
YUBA__CA	7910	13170	22998
ADAMS__CO	96558	80082	193665
ALAMOSA__CO	3189	3046	6939
ARAPAHOE__CO	159885	117053	303046
ARCHULETA__CO	2500	4264	7339
BACA__CO	283	1753	2153
BENT__CO	590	1188	1927
BOULDER__CO	132334	41396	188142
BROOMFIELD__CO	19731	14367	37689
CHAFFEE__CO	4888	5391	11250
CHEYENNE__CO	132	925	1102
CLEAR_CREEK__CO	2729	2575	5866
CONEJOS__CO	1771	1914	4022
COSTILLA__CO	1125	588	1848
CROWLEY__CO	339	1079	1527
CUSTER__CO	797	2061	3066
DELTA__CO	4087	11655	16790
DENVER__CO	244551	62690	331852
DOLORES__CO	242	944	1255
DOUGLAS__CO	68657	102573	187499
EAGLE__CO	14099	8990	25223
ELBERT__CO	3134	11705	15978
EL_PASO__CO	108010	179228	318967
FREMONT__CO	5297	15122	21973
GARFIELD__CO	11271	13132	26470
GILPIN__CO	1634	1566	3576
GRAND__CO	3358	4494	8588
GUNNISON__CO	5128	3289	9412
HINSDALE__CO	197	339	589
HUERFANO__CO	1633	1883	3783
JACKSON__CO	171	629	861
JEFFERSON__CO	160776	138177	328882
KIOWA__CO	91	728	855
KIT_CARSON__CO	536	2967	3702
LAKE__CO	1616	1270	3199
LA_PLATA__CO	15525	12587	31150
LARIMER__CO	93113	83430	195980
LAS_ANIMAS__CO	2650	3710	6793
LINCOLN__CO	409	1892	2436
LOGAN__CO	1851	7282	9722
MESA__CO	21729	49779	77653
MINERAL__CO	237	344	652
MOFFAT__CO	874	5305	6525
MONTEZUMA__CO	3973	7853	12858
MONTROSE__CO	5466	14382	21186
MORGAN__CO	3151	8145	11960
OTERO__CO	2943	4928	8452
OURAY__CO	1697	1351	3310
PARK__CO	3421	6135	10417
PHILLIPS__CO	436	1791	2332
PITKIN__CO	7333	2550	10523
PROWERS__CO	1186	3531	5016
PUEBLO__CO	35875	36265	78646
RIO_BLANCO__CO	436	2791	3450
RIO_GRANDE__CO	2001	3085	5534
ROUTT__CO	7600	5230	13986
SAGUACHE__CO	1417	1147	2835
SAN_JUAN__CO	265	215	506
SAN_MIGUEL__CO	2975	1033	4329
SEDGWICK__CO	267	1015	1364
SUMMIT__CO	9557	5100	16174
TELLER__CO	3603	9745	14444
WASHINGTON__CO	296	2299	2733
WELD__CO	46519	76651	135428
YUMA__CO	726	3850	4791
FAIRFIELD__CT	243852	160077	421209
HARTFORD__CT	240403	148173	406864
LITCHFIELD__CT	39775	53051	97442
MIDDLESEX__CT	45357	38867	88624
NEW_HAVEN__CT	205609	159048	379006
NEW_LONDON__CT	62278	54058	123528
TOLLAND__CT	38506	34194	77424
WINDHAM__CT	21792	25747	50823
KENT__DE	33351	36991	74598
NEW_CASTLE__DE	162919	85525	262391
SUSSEX__DE	39333	62611	106008
DISTRICT_OF_COLUMBIA__DC	282830	12723	311268
ALACHUA__FL	75820	46834	128571
BAKER__FL	2112	10294	12634
BAY__FL	21797	62194	87453
BRADFORD__FL	2924	8913	12098
BREVARD__FL	119679	181848	314752
BROWARD__FL	553320	260951	831951
CALHOUN__FL	1241	4655	6081
CHARLOTTE__FL	33445	60218	96374
CITRUS__FL	22789	54456	79700
CLAY__FL	27822	74963	106483
COLLIER__FL	61085	105423	170789
COLUMBIA__FL	7601	20368	28707
DESOTO__FL	3781	6778	10818
DIXIE__FL	1270	5822	7202
DUVAL__FL	205704	211672	432695
ESCAMBIA__FL	57461	88808	152469
FLAGLER__FL	22026	33850	57503
FRANKLIN__FL	1744	4125	6015
GADSDEN__FL	15020	6728	22113
GILCHRIST__FL	1458	6740	8420
GLADES__FL	1271	2996	4353
GULF__FL	1720	5329	7293
HAMILTON__FL	1904	3443	5460
HARDEE__FL	2149	5242	7583
HENDRY__FL	4615	6195	11115
HERNANDO__FL	31795	58970	93796
HIGHLANDS__FL	14937	29565	45686
HILLSBOROUGH__FL	307896	266870	597660
HOLMES__FL	853	7483	8514
INDIAN_RIVER__FL	29043	48620	80009
JACKSON__FL	6397	14257	21041
JEFFERSON__FL	3541	3930	7645
LAFAYETTE__FL	518	2809	3392
LAKE__FL	62838	102188	170462
LEE__FL	124908	191551	326420
LEON__FL	92068	53821	152132
LEVY__FL	5101	13775	19395
LIBERTY__FL	651	2543	3296
MADISON__FL	3526	4851	8505
MANATEE__FL	71224	101944	178958
MARION__FL	62041	107833	174700
MARTIN__FL	30185	53204	85792
MIAMI_DADE__FL	624146	333999	980204
MONROE__FL	18971	21904	42478
NASSAU__FL	10869	34266	46607
OKALOOSA__FL	23780	71893	100855
OKEECHOBEE__FL	3959	9356	13653
ORANGE__FL	329894	195216	546275
OSCEOLA__FL	85458	50301	140206
PALM_BEACH__FL	374673	272402	662332
PASCO__FL	90142	142101	241139
PINELLAS__FL	233701	239201	492403
POLK__FL	117433	157430	284314
PUTNAM__FL	10094	22138	33117
ST__JOHNS__FL	43099	88684	136514
ST__LUCIE__FL	66881	70289	140847
SANTA_ROSA__FL	18464	65339	87745
SARASOTA__FL	97870	124438	229063
SEMINOLE__FL	105914	109443	224896
SUMTER__FL	22638	52730	76665
SUWANNEE__FL	3964	14287	18694
TAYLOR__FL	2152	6930	9290
UNION__FL	1014	4568	5694
VOLUSIA__FL	109091	143007	260869
WAKULLA__FL	4348	10512	15351
WALTON__FL	6876	25756	33637
WASHINGTON__FL	2264	8637	11156
APPLING__GA	1434	5494	7012
ATKINSON__GA	697	1878	2610
BACON__GA	608	3364	4020
BAKER__GA	650	775	1440
BALDWIN__GA	7970	7697	16116
BANKS__GA	684	6134	6975
BARROW__GA	6580	21108	29060
BARTOW__GA	8212	29911	39550
BEN_HILL__GA	2101	3739	5936
BERRIEN__GA	1047	5422	6590
BIBB__GA	36787	24043	62596
BLECKLEY__GA	1101	3719	4974
BRANTLEY__GA	619	5567	6301
BROOKS__GA	2528	3701	6336
BRYAN__GA	4014	10529	15173
BULLOCH__GA	9261	15097	25316
BURKE__GA	4731	4491	9351
BUTTS__GA	2566	6717	9514
CALHOUN__GA	1179	830	2025
CAMDEN__GA	5930	12310	18901
CANDLER__GA	1026	2664	3763
CARROLL__GA	12464	30029	44121
CATOOSA__GA	4771	20876	26757
CHARLTON__GA	1004	2951	4016
CHATHAM__GA	62290	45688	112142
CHATTAHOOCHEE__GA	594	751	1390
CHATTOOGA__GA	1613	6462	8252
CHEROKEE__GA	25231	80649	112043
CLARKE__GA	29603	12717	44976
CLAY__GA	697	566	1273
CLAYTON__GA	78220	12645	92859
CLINCH__GA	686	1727	2455
COBB__GA	160121	152912	330819
COFFEE__GA	4094	9588	13915
COLQUITT__GA	3463	9898	13624
COLUMBIA__GA	18887	43085	64743
COOK__GA	1753	4176	6057
COWETA__GA	16583	42533	61745
CRAWFORD__GA	1421	3635	5176
CRISP__GA	2837	4549	7512
DADE__GA	965	5051	6242
DAWSON__GA	1448	9900	11765
DECATUR__GA	4124	6020	10286
DEKALB__GA	251370	51468	314757
DODGE__GA	1839	5021	7009
DOOLY__GA	1872	1951	3859
DOUGHERTY__GA	23311	10232	34087
DOUGLAS__GA	31005	24817	57738
EARLY__GA	2168	2552	4785
ECHOLS__GA	156	1007	1182
EFFINGHAM__GA	4853	17874	23458
ELBERT__GA	2539	5292	7987
EMANUEL__GA	2435	5335	7860
EVANS__GA	1130	2404	3613
FANNIN__GA	1923	9632	11812
FAYETTE__GA	23284	35048	60913
FLOYD__GA	9159	24114	34608
FORSYTH__GA	23462	69851	98221
FRANKLIN__GA	1243	7054	8502
FULTON__GA	297051	117783	431391
GILMER__GA	1965	10477	12773
GLASCOCK__GA	138	1235	1390
GLYNN__GA	11775	21512	34263
GORDON__GA	3181	15191	18959
GRADY__GA	3013	6053	9213
GREENE__GA	3199	5490	8852
GWINNETT__GA	166153	146989	328331
HABERSHAM__GA	2483	13190	16243
HALL__GA	16180	51733	70694
HANCOCK__GA	2701	843	3580
HARALSON__GA	1475	9585	11357
HARRIS__GA	4086	11936	16502
HART__GA	2585	7286	10117
HEARD__GA	743	3370	4223
HENRY__GA	50057	45724	98766
HOUSTON__GA	22553	35430	60079
IRWIN__GA	891	2716	3670
JACKSON__GA	4491	21784	27190
JASPER__GA	1544	4360	6045
JEFF_DAVIS__GA	901	4104	5096
JEFFERSON__GA	3821	3063	6968
JENKINS__GA	1123	1895	3056
JOHNSON__GA	1136	2519	3686
JONES__GA	3961	8305	12551
LAMAR__GA	2270	5190	7612
LANIER__GA	806	1984	2871
LAURENS__GA	6752	12411	19530
LEE__GA	3170	10646	14143
LIBERTY__GA	9556	6134	16143
LINCOLN__GA	1273	2759	4102
LONG__GA	1360	2626	4117
LOWNDES__GA	15064	21635	37805
LUMPKIN__GA	2220	9619	12425
MCDUFFIE__GA	3699	5432	9268
MCINTOSH__GA	2303	3487	5903
MACON__GA	2705	1540	4287
MADISON__GA	2425	9201	11998
MARION__GA	1213	1921	3190
MERIWETHER__GA	3804	5222	9217
MILLER__GA	623	1891	2544
MITCHELL__GA	3493	4279	7880
MONROE__GA	3571	8832	12687
MONTGOMERY__GA	847	2670	3576
MORGAN__GA	2663	6559	9475
MURRAY__GA	1800	10341	12458
MUSCOGEE__GA	39851	26976	69032
NEWTON__GA	21943	20913	43987
OCONEE__GA	5581	13425	20149
OGLETHORPE__GA	1831	4625	6674
PAULDING__GA	18025	44662	64890
PEACH__GA	5100	5413	10752
PICKENS__GA	1979	11651	14038
PIERCE__GA	903	6302	7311
PIKE__GA	1240	7278	8725
POLK__GA	2867	11014	14215
PULASKI__GA	1104	2437	3605
PUTNAM__GA	2758	6544	9488
QUITMAN__GA	461	575	1044
RABUN__GA	1444	6287	7992
RANDOLPH__GA	1598	1271	2899
RICHMOND__GA	48814	24461	75515
ROCKDALE__GA	23255	13478	37869
SCHLEY__GA	401	1472	1909
SCREVEN__GA	2300	3305	5715
SEMINOLE__GA	1189	2345	3588
SPALDING__GA	9357	15646	25704
STEPHENS__GA	1837	7686	9815
STEWART__GA	1222	805	2058
SUMTER__GA	5520	5276	10974
TALBOT__GA	2002	1196	3246
TALIAFERRO__GA	545	349	897
TATTNALL__GA	1681	5096	6903
TAYLOR__GA	1296	2064	3408
TELFAIR__GA	1313	2450	3796
TERRELL__GA	2267	1874	4189
THOMAS__GA	7142	11228	18802
TIFT__GA	4347	9584	14219
TOOMBS__GA	2338	6615	9138
TOWNS__GA	1210	5383	6764
TREUTLEN__GA	862	1809	2703
TROUP__GA	9713	15750	26111
TURNER__GA	1246	2095	3398
TWIGGS__GA	1971	2035	4059
UNION__GA	1963	9852	12063
UPSON__GA	3475	7292	10934
WALKER__GA	4215	18950	23956
WALTON__GA	8292	31125	40698
WARE__GA	3440	8513	12184
WARREN__GA	1314	991	2334
WASHINGTON__GA	4200	4149	8461
WAYNE__GA	2041	8153	10413
WEBSTER__GA	473	630	1116
WHEELER__GA	646	1421	2102
WHITE__GA	1674	9761	11823
WHITFIELD__GA	7937	21537	30658
WILCOX__GA	852	2096	2976
WILKES__GA	1848	2572	4486
WILKINSON__GA	1894	2333	4287
WORTH__GA	2020	6152	8295
HAWAII__HI	41259	17501	64867
HONOLULU__HI	175696	90326	285790
KAUAI__HI	16456	7574	26335
MAUI__HI	33480	13446	51945
ADA__ID	75677	93752	195669
ADAMS__ID	415	1556	2183
BANNOCK__ID	10342	17180	33416
BEAR_LAKE__ID	255	2203	2928
BENEWAH__ID	770	3103	4185
BINGHAM__ID	2924	10907	16625
BLAINE__ID	6416	3340	10724
BOISE__ID	777	2673	3814
BONNER__ID	5819	13343	20943
BONNEVILLE__ID	8930	26699	44221
BOUNDARY__ID	933	3789	5163
BUTTE__ID	160	914	1230
CAMAS__ID	110	410	590
CANYON__ID	16883	47222	72785
CARIBOU__ID	271	2275	3035
CASSIA__ID	1036	5949	8178
CLARK__ID	44	203	283
CLEARWATER__ID	704	2852	3801
CUSTER__ID	427	1777	2414
ELMORE__ID	1814	5816	8522
FRANKLIN__ID	385	3901	5499
FREMONT__ID	651	4090	5715
GEM__ID	1229	5980	7954
GOODING__ID	930	3743	5191
IDAHO__ID	1196	6441	8233
JEFFERSON__ID	976	8436	11475
JEROME__ID	1329	4644	6751
KOOTENAI__ID	16264	44449	66310
LATAH__ID	8093	7265	18173
LEMHI__ID	733	3011	4096
LEWIS__ID	270	1202	1590
LINCOLN__ID	360	1184	1748
MADISON__ID	1201	8941	15688
MINIDOKA__ID	1167	4887	6871
NEZ_PERCE__ID	4828	10699	17201
ONEIDA__ID	184	1531	2068
OWYHEE__ID	591	3052	3925
PAYETTE__ID	1507	6489	8704
POWER__ID	699	1666	2758
SHOSHONE__ID	1384	3297	5120
TETON__ID	2159	2167	4976
TWIN_FALLS__ID	6233	19828	29874
VALLEY__ID	1913	2906	5349
WASHINGTON__ID	776	3283	4455
ADAMS__IL	7676	22790	31951
ALEXANDER__IL	1262	1496	2846
BOND__IL	2068	4888	7530
BOONE__IL	8986	12282	23001
BROWN__IL	476	1796	2379
BUREAU__IL	6029	9281	16571
CALHOUN__IL	739	1721	2571
CARROLL__IL	2447	4434	7445
CASS__IL	1621	3216	5124
CHAMPAIGN__IL	50137	33368	91628
CHRISTIAN__IL	3992	10543	15459
CLARK__IL	1877	5622	7928
CLAY__IL	1020	5021	6350
CLINTON__IL	3945	12412	17419
COLES__IL	7309	13003	21863
COOK__IL	1611946	453287	2158615
CRAWFORD__IL	1992	6277	8728
CUMBERLAND__IL	1031	4206	5567
DEKALB__IL	20466	19091	43600
DE_WITT__IL	1910	5077	7543
DOUGLAS__IL	1949	5698	8169
DUPAGE__IL	228622	166415	428769
EDGAR__IL	1793	5645	7873
EDWARDS__IL	434	2778	3347
EFFINGHAM__IL	3083	13635	17609
FAYETTE__IL	1819	7372	9585
FORD__IL	1414	4480	6396
FRANKLIN__IL	4727	13116	18711
FULTON__IL	6133	8492	15797
GALLATIN__IL	657	1942	2707
GREENE__IL	1205	4145	5585
GRUNDY__IL	8065	13454	23237
HAMILTON__IL	802	3206	4166
HANCOCK__IL	2139	6430	9121
HARDIN__IL	420	1653	2148
HENDERSON__IL	1155	2155	3518
HENRY__IL	8871	13985	24643
IROQUOIS__IL	2504	9750	13064
JACKSON__IL	11634	10843	24617
JASPER__IL	924	3975	5136
JEFFERSON__IL	4425	11695	16999
JERSEY__IL	2679	7748	10991
JO_DAVIESS__IL	4462	6121	11334
JOHNSON__IL	1142	4649	6089
KANE__IL	103665	82734	199314
KANKAKEE__IL	18971	25129	47305
KENDALL__IL	24884	24961	53447
KNOX__IL	10083	10737	22243
LAKE__IL	171095	109767	303520
LA_SALLE__IL	19543	26689	49743
LAWRENCE__IL	1290	4521	6094
LEE__IL	5528	8612	15489
LIVINGSTON__IL	4023	10208	15269
LOGAN__IL	3313	8181	12401
MCDONOUGH__IL	5288	6795	13092
MCHENRY__IL	60803	71612	141750
MCLEAN__IL	36196	37237	79835
MACON__IL	18343	26866	48060
MACOUPIN__IL	6689	14322	22360
MADISON__IL	50587	70490	130179
MARION__IL	4369	11859	17074
MARSHALL__IL	1789	3785	5984
MASON__IL	2014	4058	6486
MASSAC__IL	1558	4846	6683
MENARD__IL	1817	4231	6515
MERCER__IL	3071	4807	8525
MONROE__IL	5535	12629	19354
MONTGOMERY__IL	3504	8630	12978
MORGAN__IL	4696	9076	14800
MOULTRIE__IL	1481	4455	6283
OGLE__IL	8050	14352	24193
PEORIA__IL	38060	35633	78503
PERRY__IL	2462	6855	9853
PIATT__IL	2645	5634	9008
PIKE__IL	1413	5754	7530
POPE__IL	375	1678	2142
PULASKI__IL	962	1675	2735
PUTNAM__IL	1147	1767	3111
RANDOLPH__IL	3439	10023	14194
RICHLAND__IL	1584	5739	7684
ROCK_ISLAND__IL	32298	26998	63994
ST__CLAIR__IL	60756	53857	120580
SALINE__IL	2572	8276	11384
SANGAMON__IL	40907	49944	98373
SCHUYLER__IL	1075	2524	3828
SCOTT__IL	535	1966	2608
SHELBY__IL	2288	8229	11010
STARK__IL	751	1778	2743
STEPHENSON__IL	7768	11083	20343
TAZEWELL__IL	20685	38707	64400
UNION__IL	2402	5790	8537
VERMILION__IL	10039	19087	30570
WABASH__IL	1151	4047	5464
WARREN__IL	2987	4275	7807
WASHINGTON__IL	1448	5571	7427
WAYNE__IL	1048	6967	8261
WHITE__IL	1412	5640	7335
WHITESIDE__IL	11035	12615	25582
WILL__IL	151927	132720	300904
WILLIAMSON__IL	8581	21570	31852
WINNEBAGO__IL	55713	55624	118376
WOODFORD__IL	5092	13207	19864
ADAMS__IN	2805	9648	13090
ALLEN__IN	55382	83930	147137
BARTHOLOMEW__IN	9841	20640	32490
BENTON__IN	860	2579	3666
BLACKFORD__IN	1243	3350	4839
BOONE__IN	10181	19654	32178
BROWN__IN	2518	5016	7945
CARROLL__IN	1892	6273	8643
CASS__IN	3759	9701	14209
CLARK__IN	18808	30035	51147
CLAY__IN	2306	8531	11282
CLINTON__IN	2819	8531	11936
CRAWFORD__IN	1323	3015	4593
DAVIESS__IN	1800	8545	10768
DEARBORN__IN	4883	18113	23987
DECATUR__IN	2121	8490	11127
DEKALB__IN	3942	12054	16902
DELAWARE__IN	18153	24263	45123
DUBOIS__IN	5389	13365	19984
ELKHART__IN	20740	41867	65630
FAYETTE__IN	2252	6839	9530
FLOYD__IN	13945	21432	37425
FOUNTAIN__IN	1476	5662	7492
FRANKLIN__IN	1969	8669	11013
FULTON__IN	1960	6010	8374
GIBSON__IN	3721	11081	15484
GRANT__IN	7010	17008	25312
GREENE__IN	2929	10277	13801
HAMILTON__IN	57263	87404	154256
HANCOCK__IN	8904	25074	36181
HARRISON__IN	4783	12943	18558
HENDRICKS__IN	22600	48337	75559
HENRY__IN	5124	13895	20155
HOWARD__IN	11215	23675	36843
HUNTINGTON__IN	3506	11649	16043
JACKSON__IN	3843	12859	17573
JASPER__IN	3329	9382	13378
JAY__IN	1889	5697	7986
JEFFERSON__IN	4326	8546	13544
JENNINGS__IN	2364	8224	11150
JOHNSON__IN	17318	45456	66500
KNOX__IN	3772	11077	15516
KOSCIUSKO__IN	6313	23935	32084
LAGRANGE__IN	2080	7025	9566
LAKE__IN	116935	75625	201205
LAPORTE__IN	19798	22687	45203
LAWRENCE__IN	4210	14035	19152
MADISON__IN	18595	32376	53909
MARION__IN	212899	130360	362372
MARSHALL__IN	4798	12288	18082
MARTIN__IN	881	3697	4809
MIAMI__IN	2766	9975	13482
MONROE__IN	34216	20592	58454
MONTGOMERY__IN	3362	11059	15156
MORGAN__IN	6040	23674	31280
NEWTON__IN	1404	4077	5795
NOBLE__IN	3904	12198	16890
OHIO__IN	686	2118	2921
ORANGE__IN	2048	5803	8192
OWEN__IN	1946	6153	8557
PARKE__IN	1441	4863	6582
PERRY__IN	3062	4556	8055
PIKE__IN	1297	4398	5977
PORTER__IN	33676	38832	77190
POSEY__IN	3521	8404	12467
PULASKI__IN	1327	3854	5459
PUTNAM__IN	3356	10637	14715
RANDOLPH__IN	2446	7517	10458
RIPLEY__IN	2471	9806	12810
RUSH__IN	1525	5292	7214
ST__JOSEPH__IN	52252	52021	110060
SCOTT__IN	2642	6074	9101
SHELBY__IN	4247	12718	17994
SPENCER__IN	2861	6572	9979
STARKE__IN	2489	6367	9226
STEUBEN__IN	3744	10133	14566
SULLIVAN__IN	2113	6138	8559
SWITZERLAND__IN	930	2558	3699
TIPPECANOE__IN	27282	30768	62515
TIPTON__IN	1587	5589	7510
UNION__IN	715	2445	3291
VANDERBURGH__IN	28530	40496	72507
VERMILLION__IN	2081	4513	6939
VIGO__IN	15931	21937	39818
WABASH__IN	3018	9821	13468
WARREN__IN	839	2898	3930
WARRICK__IN	9086	19113	29589
WASHINGTON__IN	2636	8209	11382
WAYNE__IN	8322	16028	25579
