_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Hidalgo__TX	128199	90527	220884
Hill__TX	2860	11926	14931
Hockley__TX	1482	6536	8100
Hood__TX	5648	26496	32541
Hopkins__TX	3046	12719	15941
Houston__TX	2314	7060	9438
Howard__TX	2069	8054	10241
Hudspeth__TX	371	779	1165
Hunt__TX	8906	29163	38597
Hutchinson__TX	965	7681	8773
Irion__TX	120	759	889
Jack__TX	331	3418	3782
Jackson__TX	1033	5231	6353
Jasper__TX	2954	12542	15611
Jeff_Davis__TX	501	784	1305
Jefferson__TX	46073	47570	94759
Jim_Hogg__TX	1197	833	2036
Jim_Wells__TX	6119	7453	13669
Johnson__TX	16464	54628	72020
Jones__TX	999	5660	6741
Karnes__TX	1234	3968	5252
Kaufman__TX	18405	37624	56718
Kendall__TX	6020	20083	26452
Kenedy__TX	65	127	194
Kent__TX	47	411	462
Kerr__TX	6524	20879	27745
Kimble__TX	284	1987	2292
King__TX	8	151	159
Kinney__TX	446	1144	1603
Kleberg__TX	5314	5504	10944
Knox__TX	265	1180	1456
La_Salle__TX	1052	1335	2406
Lamar__TX	4458	16760	21442
Lamb__TX	840	3521	4410
Lampasas__TX	2144	8086	10399
Lavaca__TX	1333	8804	10197
Lee__TX	1750	6255	8100
Leon__TX	1072	7523	8685
Liberty__TX	5785	23302	29334
Limestone__TX	2213	6789	9095
Lipscomb__TX	131	1205	1353
Live_Oak__TX	819	4199	5054
Llano__TX	2465	10079	12660
Loving__TX	4	60	66
Lubbock__TX	40017	78861	120817
Lynn__TX	428	1853	2293
Madison__TX	1088	4169	5298
Marion__TX	1339	3470	4864
Martin__TX	288	1857	2160
Mason__TX	457	1991	2474
Matagorda__TX	3733	9845	13727
Maverick__TX	8332	6881	15346
McCulloch__TX	490	2904	3436
McLennan__TX	36688	59543	97872
McMullen__TX	53	460	516
Medina__TX	6773	15642	22657
Menard__TX	197	823	1028
Midland__TX	12329	45624	58988
Milam__TX	2496	7984	10578
Mills__TX	271	2217	2505
Mitchell__TX	397	2170	2579
Montague__TX	1097	8615	9819
Montgomery__TX	74377	193382	271543
Moore__TX	1062	4359	5508
Morris__TX	1669	3872	5587
Motley__TX	46	604	652
Nacogdoches__TX	9000	17378	26785
Navarro__TX	5101	13800	19123
Newton__TX	1173	4882	6094
Nolan__TX	1162	4131	5357
Nueces__TX	60925	64617	127322
Ochiltree__TX	302	2812	3156
Oldham__TX	81	917	1009
Orange__TX	6357	29186	35994
Palo_Pinto__TX	2178	10179	12489
Panola__TX	2057	9326	11451
Parker__TX	13017	62045	76128
Parmer__TX	488	2135	2650
Pecos__TX	1382	3215	4668
Polk__TX	5387	18573	24186
Potter__TX	9921	22820	33337
Presidio__TX	1463	721	2217
Rains__TX	842	5155	6053
Randall__TX	12802	50796	64674
Reagan__TX	172	942	1124
Real__TX	320	1643	1982
Red_River__TX	1246	4517	5806
Reeves__TX	1395	2254	3689
Refugio__TX	1108	2210	3366
Roberts__TX	17	529	550
Robertson__TX	2374	5646	8099
Rockwall__TX	16412	36726	53891
Runnels__TX	552	3807	4409
Rusk__TX	4629	16534	21377
Sabine__TX	669	4784	5491
San_Augustine__TX	980	3007	4002
San_Jacinto__TX	2337	10161	12640
San_Patricio__TX	8988	16516	25891
San_Saba__TX	287	2308	2602
Schleicher__TX	211	940	1159
Scurry__TX	818	4983	5870
Shackelford__TX	130	1484	1628
