_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Nodaway__MO	2853	6865	10068
Oregon__MO	823	3847	4808
Osage__MO	1037	6425	7616
Ozark__MO	752	4064	4912
Pemiscot__MO	1560	4120	5790
Perry__MO	1664	7657	9573
Pettis__MO	4783	13854	19557
Phelps__MO	5637	13480	20019
Pike__MO	1717	5863	7810
Platte__MO	27179	28917	58444
Polk__MO	2885	11850	15393
Pulaski__MO	3740	10329	14759
Putnam__MO	361	1984	2377
Ralls__MO	1205	4396	5723
Randolph__MO	2485	8018	10985
Ray__MO	3109	8345	11844
Reynolds__MO	529	2733	3334
Ripley__MO	833	4839	5762
Saline__MO	2904	6451	9683
Schuyler__MO	373	1606	2027
Scotland__MO	388	1560	2020
Scott__MO	3753	13769	17916
Shannon__MO	706	3165	3941
Shelby__MO	592	2700	3408
St__Charles__MO	89530	128389	226115
St__Clair__MO	988	3932	5028
St__Francois__MO	7044	20511	28447
St__Louis_Co___MO	328151	199493	545248
St__Louis__MO	110089	21474	136171
Sainte_Genevieve__MO	2713	6630	9625
Stoddard__MO	1819	11484	13549
Stone__MO	3506	14800	18660
Sullivan__MO	478	1974	2490
Taney__MO	5339	20508	26729
Texas__MO	1716	9478	11436
Vernon__MO	1903	7155	9312
Warren__MO	4769	13222	18759
Washington__MO	1804	8047	10101
Wayne__MO	845	4987	5924
Webster__MO	3573	14880	19105
Worth__MO	215	877	1122
Wright__MO	1168	7453	8857
Adair__IA	1198	2917	4177
Adams__IA	590	1530	2160
Allamakee__IA	2576	4735	7422
Appanoose__IA	1891	4512	6516
Audubon__IA	1071	2295	3420
Benton__IA	5160	9188	14642
Black_Hawk__IA	35647	29640	66593
Boone__IA	6303	8695	15340
Bremer__IA	5958	8294	14546
Buchanan__IA	4169	6420	10774
Buena_Vista__IA	2961	5056	8167
Butler__IA	2424	5542	8098
Calhoun__IA	1470	3689	5258
Carroll__IA	3454	7737	11335
Cass__IA	2201	4969	7276
Cedar__IA	4337	6161	10703
Cerro_Gordo__IA	10941	12442	23801
Cherokee__IA	1936	4495	6518
Chickasaw__IA	2233	4308	6631
Clarke__IA	1466	3144	4670
Clay__IA	2662	6137	8969
Clayton__IA	3340	6106	9594
Clinton__IA	10812	13361	24681
Crawford__IA	2220	4854	7154
Dallas__IA	26879	27987	56022
Davis__IA	1013	3032	4102
Decatur__IA	1120	2615	3804
Delaware__IA	3157	6666	10003
Des_Moines__IA	8893	10592	19956
Dickinson__IA	3661	7438	11244
Dubuque__IA	25657	27214	53926
Emmet__IA	1520	3265	4853
Fayette__IA	3835	6145	10186
Floyd__IA	3172	4732	8032
Franklin__IA	1626	3422	5130
Fremont__IA	1080	2711	3857
Greene__IA	1769	3223	5057
Grundy__IA	2206	4929	7276
Guthrie__IA	1985	4272	6371
Hamilton__IA	2843	4956	7943
Hancock__IA	1683	4390	6172
Hardin__IA	2976	5850	8989
Harrison__IA	2440	5569	8155
Henry__IA	3275	6507	9982
Howard__IA	1772	3127	4958
Humboldt__IA	1442	3819	5327
Ida__IA	917	2880	3849
Iowa__IA	3547	6009	9742
Jackson__IA	4029	6940	11135
Jasper__IA	7737	12084	20184
Jefferson__IA	4319	4443	8959
Johnson__IA	59177	22925	83851
Jones__IA	4213	6572	10989
Keokuk__IA	1414	3797	5303
Kossuth__IA	2696	6275	9090
Lee__IA	6541	9773	16734
Linn__IA	70874	53364	127458
Louisa__IA	1726	3500	5332
Lucas__IA	1284	3287	4630
Lyon__IA	1067	5707	6863
Madison__IA	3134	6507	9824
Mahaska__IA	2894	8297	11404
Marion__IA	6178	12663	19232
Marshall__IA	8176	9571	18136
Mills__IA	2508	5585	8268
Mitchell__IA	2053	3677	5822
Monona__IA	1407	3248	4728
Monroe__IA	1078	2975	4088
Montgomery__IA	1583	3659	5327
Muscatine__IA	9372	10823	20671
O_Brien__IA	1569	5861	7551
Osceola__IA	601	2690	3328
Page__IA	2086	5319	7528
Palo_Alto__IA	1519	3370	4958
Plymouth__IA	3494	10492	14188
Pocahontas__IA	933	2826	3823
Polk__IA	146250	106800	258755
Pottawattamie__IA	18575	26247	45744
Poweshiek__IA	4306	5657	10140
Ringgold__IA	709	1968	2714
Sac__IA	1389	4061	5535
Scott__IA	46926	43683	92599
Shelby__IA	1959	4697	6795
Sioux__IA	3019	15680	19051
Story__IA	29175	20340	51038
Tama__IA	3577	5303	9048
Taylor__IA	746	2463	3249
Union__IA	2061	4010	6185
Van_Buren__IA	875	2859	3791
Wapello__IA	5821	9516	15633
Warren__IA	12574	17782	31039
Washington__IA	4561	6971	11765
Wayne__IA	727	2338	3109
Webster__IA	6613	10938	17822
Winnebago__IA	2135	3707	5970
Winneshiek__IA	5617	6235	12064
Woodbury__IA	18704	25736	45362
Worth__IA	1596	2738	4418
Wright__IA	1996	4136	6254
Allen__KS	1570	4218	5892
Anderson__KS	782	2929	3792
Atchison__KS	2359	4906	7440
Barber__KS	291	2014	2342
Barton__KS	2340	8608	11150
Bourbon__KS	1541	5023	6676
Brown__KS	1104	3262	4471
Butler__KS	9181	22634	32520
Chase__KS	345	1123	1491
Chautauqua__KS	212	1402	1644
Cherokee__KS	2194	6766	9151
Cheyenne__KS	224	1183	1429
Clark__KS	143	904	1067
Clay__KS	894	3177	4182
Cloud__KS	920	3242	4263
Coffey__KS	964	3489	4565
Comanche__KS	126	762	916
Cowley__KS	4273	9656	14231
Crawford__KS	6179	10045	16718
Decatur__KS	218	1260	1498
Dickinson__KS	2060	7126	9349
Doniphan__KS	686	2976	3709
Douglas__KS	40785	17286	59941
Edwards__KS	271	1141	1431
Elk__KS	195	1140	1361
Ellis__KS	3737	9758	13856
Ellsworth__KS	648	2148	2853
Finney__KS	4325	7236	11846
Ford__KS	2947	5803	8915
Franklin__KS	3690	8479	12477
Geary__KS	3983	5323	9603
Gove__KS	166	1291	1471
Graham__KS	228	1080	1337
Grant__KS	518	1936	2501
Gray__KS	341	1911	2288
Greeley__KS	78	549	641
Greenwood__KS	569	2444	3077
Hamilton__KS	141	698	859
Harper__KS	461	2168	2678
Harvey__KS	6747	10182	17399
Haskell__KS	268	1122	1410
Hodgeman__KS	154	875	1045
Jackson__KS	1881	4517	6584
Jefferson__KS	3194	6334	9782
Jewell__KS	212	1387	1628
Johnson__KS	184259	155631	349386
Kearny__KS	267	1164	1455
Kingman__KS	752	3130	3949
Kiowa__KS	156	980	1165
Labette__KS	2655	5735	8563
Lane__KS	115	762	895
Leavenworth__KS	13886	21610	36490
Lincoln__KS	266	1283	1579
Linn__KS	896	4048	5046
Logan__KS	186	1249	1458
Lyon__KS	6055	7550	14049
Marion__KS	1516	4465	6111
Marshall__KS	1259	3729	5114
McPherson__KS	4134	9964	14438
Meade__KS	263	1523	1825
Miami__KS	5247	12308	17989
Mitchell__KS	558	2504	3101
Montgomery__KS	3228	9931	13426
Morris__KS	729	2124	2899
Morton__KS	150	1034	1198
Nemaha__KS	927	4664	5684
Neosho__KS	1796	4970	6877
Ness__KS	149	1339	1513
Norton__KS	364	2007	2415
Osage__KS	2136	5705	8035
Osborne__KS	281	1629	1945
Ottawa__KS	506	2610	3191
Pawnee__KS	643	2045	2739
Phillips__KS	318	2418	2781
Pottawatomie__KS	3313	9452	13083
Pratt__KS	933	3108	4137
Rawlins__KS	214	1261	1504
Reno__KS	8886	18443	28060
Republic__KS	424	2182	2657
Rice__KS	965	3262	4319
Riley__KS	12765	11610	25171
Rooks__KS	339	2325	2699
Rush__KS	295	1350	1677
Russell__KS	600	2790	3467
Saline__KS	8214	15722	24624
Scott__KS	299	2014	2354
Sedgwick__KS	95870	122416	224862
Seward__KS	1833	3372	5294
Shawnee__KS	43015	40443	86122
Sheridan__KS	147	1282	1445
Sherman__KS	396	2269	2727
Smith__KS	336	1763	2129
Stafford__KS	357	1645	2034
Stanton__KS	148	614	776
Stevens__KS	237	1760	2031
Sumner__KS	2591	8105	10928
Thomas__KS	625	3130	3810
Trego__KS	242	1363	1630
Wabaunsee__KS	964	2845	3902
Wallace__KS	44	770	825
Washington__KS	475	2363	2883
Wichita__KS	149	808	968
Wilson__KS	723	3153	3954
Woodson__KS	294	1228	1546
Wyandotte__KS	36788	18934	57071
Adams__IL	8633	24220	33527
Alexander__IL	1114	1486	2618
Bond__IL	2288	5625	8144
Boone__IL	10542	13883	24979
Brown__IL	486	1931	2521
Bureau__IL	6669	10411	17434
Calhoun__IL	677	2046	2772
Carroll__IL	2748	5105	8024
Cass__IL	1615	3625	5317
Champaign__IL	57067	35285	95052
Christian__IL	4335	11563	16204
Clark__IL	1993	6226	8355
Clay__IL	1129	5629	6886
Clinton__IL	4493	14304	19170
Coles__IL	8067	14037	22606
Cook__IL	1725973	558269	2321399
Crawford__IL	2202	7043	9425
Cumberland__IL	1142	4601	5831
DeKalb__IL	24643	21905	47819
De_Witt__IL	2191	5632	8024
Douglas__IL	2335	6227	8738
DuPage__IL	281222	193611	485064
Edgar__IL	1887	6193	8196
Edwards__IL	488	2833	3366
Effingham__IL	3716	15006	19049
Fayette__IL	1826	8055	10053
Ford__IL	1754	5048	6953
Franklin__IL	4760	13622	18626
Fulton__IL	6503	9867	16678
Gallatin__IL	622	2019	2674
Greene__IL	1349	4770	6227
Grundy__IL	9626	16523	26690
Hamilton__IL	824	3432	4315
Hancock__IL	2315	6906	9383
Hardin__IL	449	1691	2162
Henderson__IL	1187	2394	3647
Henry__IL	9797	15300	25635
Iroquois__IL	2908	10877	14024
Jackson__IL	11181	10890	22643
Jasper__IL	1007	4494	5576
Jefferson__IL	4608	12476	17404
Jersey__IL	2961	8712	11937
Jo_Daviess__IL	5109	7166	12495
Johnson__IL	1281	5059	6437
Kane__IL	130166	96775	231863
Kankakee__IL	20271	28532	49902
Kendall__IL	33168	29492	63971
Knox__IL	10703	12009	23143
Lake__IL	204032	123594	334156
La_Salle__IL	22442	30113	53590
Lawrence__IL	1419	4886	6411
Lee__IL	6407	9630	16397
Livingston__IL	4615	12208	17174
Logan__IL	3840	9136	13294
Macon__IL	19847	28589	49387
Macoupin__IL	7365	16153	24022
Madison__IL	57836	76031	137135
Marion__IL	4524	12678	17458
Marshall__IL	2005	4197	6334
Mason__IL	1985	4654	6766
Massac__IL	1725	4997	6813
McDonough__IL	4992	7027	12285
McHenry__IL	78154	82260	163874
McLean__IL	43933	40502	87000
Menard__IL	2022	4764	6928
Mercer__IL	3280	5418	8893
Monroe__IL	6569	14142	21148
Montgomery__IL	3905	9544	13727
Morgan__IL	5076	9950	15309
Moultrie__IL	1662	4964	6744
Ogle__IL	9428	16248	26272
Peoria__IL	43578	38252	83967
Perry__IL	2612	7313	10053
Piatt__IL	3329	6248	9822
Pike__IL	1484	6332	7949
Pope__IL	433	1722	2175
Pulaski__IL	891	1699	2624
Putnam__IL	1338	1993	3390
Randolph__IL	3592	11076	14891
Richland__IL	1830	6089	8063
Rock_Island__IL	36691	28603	66758
Saline__IL	2789	8103	11066
Sangamon__IL	48917	53485	104751
Schuyler__IL	1068	2773	3906
Scott__IL	572	2114	2737
Shelby__IL	2504	9426	12096
St__Clair__IL	68325	57150	128090
Stark__IL	815	2004	2883
Stephenson__IL	9055	12521	22047
Tazewell__IL	24819	42513	69051
Union__IL	2579	6161	8886
Vermilion__IL	10323	20725	31584
Wabash__IL	1253	4237	5593
Warren__IL	3090	4676	7909
Washington__IL	1641	6115	7902
Wayne__IL	1187	7176	8486
White__IL	1517	5791	7421
Whiteside__IL	12253	14527	27375
Will__IL	183915	155116	345095
Williamson__IL	10206	22801	33652
Winnebago__IL	64056	60861	127709
Woodford__IL	6160	14799	21432
Alamance__NC	38825	46056	86091
Alexander__NC	4145	15888	20236
Alleghany__NC	1486	4527	6076
Anson__NC	5789	5321	11194
Ashe__NC	4164	11451	15814
Avery__NC	2191	7172	9458
Beaufort__NC	9633	16437	26315
Bertie__NC	5939	3817	9815
Bladen__NC	7326	9676	17125
Brunswick__NC	33310	55850	90175
Buncombe__NC	96515	62412	161569
Burke__NC	13118	31019	44602
Cabarrus__NC	52162	63237	117227
Caldwell__NC	10245	32119	42829
Camden__NC	1537	4312	5953
Carteret__NC	12093	30028	42695
Caswell__NC	4860	7089	12051
Catawba__NC	25689	56588	83425
Chatham__NC	26787	21186	48599
Cherokee__NC	3583	12628	16423
Chowan__NC	3247	4471	7784
Clay__NC	1699	5112	6893
Cleveland__NC	16955	33798	51308
Columbus__NC	9446	16832	26446
Craven__NC	21148	31032	53065
Cumberland__NC	84469	60032	147150
Currituck__NC	4195	11657	16147
Dare__NC	9936	13938	24232
Davidson__NC	22636	64658	88514
Davie__NC	6713	18228	25311
Duplin__NC	8767	13793	22715
Durham__NC	144688	32459	179914
Edgecombe__NC	16089	9206	25477
Forsyth__NC	113033	85064	201270
Franklin__NC	15879	20901	37351
Gaston__NC	40959	73033	115498
Gates__NC	2546	3367	5971
Graham__NC	905	3710	4665
Granville__NC	14565	16647	31598
Greene__NC	3832	4874	8753
Guilford__NC	173086	107294	284486
Halifax__NC	15545	10080	25759
Harnett__NC	22093	35177	58293
Haywood__NC	13144	22834	36542
Henderson__NC	27211	40032	68371
Hertford__NC	7097	3479	10634
Hoke__NC	11804	9453	21639
Hyde__NC	1046	1418	2492
Iredell__NC	33888	67010	102371
Jackson__NC	9591	11356	21428
Johnston__NC	41257	68353	111357
Jones__NC	2197	3280	5525
Lee__NC	12143	16469	29008
Lenoir__NC	13605	14590	28409
Lincoln__NC	13274	36341	50217
Macon__NC	6230	14211	20743
Madison__NC	4901	7979	13076
Martin__NC	5911	6532	12540
McDowell__NC	5832	16883	23003
Mecklenburg__NC	378107	179211	567053
Mitchell__NC	1867	7090	9041
Montgomery__NC	4327	8411	12849
Moore__NC	20779	36764	58339
Nash__NC	25947	25827	52271
New_Hanover__NC	66138	63331	131830
Northampton__NC	6069	3989	10110
Onslow__NC	24266	46078	72235
Orange__NC	63594	20176	84997
Pamlico__NC	2713	4849	7631
Pasquotank__NC	9832	9770	19897
Pender__NC	11723	21956	34169
Perquimans__NC	2492	4903	7484
Person__NC	8465	13184	21894
Pitt__NC	47252	38982	87573
Polk__NC	4518	7689	12358
Randolph__NC	15618	56894	73316
Richmond__NC	8754	11830	20763
Robeson__NC	19020	27806	47188
Rockingham__NC	15992	31301	47809
Rowan__NC	23114	49297	73408
Rutherford__NC	9135	24891	34429
Sampson__NC	10966	17411	28618
Scotland__NC	7186	7473	14775
Stanly__NC	8129	25458	33939
Stokes__NC	5286	20144	25703
Surry__NC	8721	27538	36638
Swain__NC	2780	4161	7068
Transylvania__NC	8444	11636	20404
Tyrrell__NC	758	1044	1817
Union__NC	48725	80382	131011
Vance__NC	12431	8391	20999
Wake__NC	393336	226197	631830
Warren__NC	6400	3752	10293
Washington__NC	3396	2781	6205
Watauga__NC	17122	14451	32220
Wayne__NC	24215	30709	55537
Wilkes__NC	7511	27592	35466
Wilson__NC	20754	19581	40735
Yadkin__NC	3763	15933	19923
Yancey__NC	3688	7516	11352
Anderson__TN	11741	23184	35570
Bedford__TN	4453	14354	19088
Benton__TN	1529	5668	7260
Bledsoe__TN	971	4725	5758
Blount__TN	17932	47369	66609
Bradley__TN	9851	35204	45865
Campbell__TN	2441	12331	14933
Cannon__TN	1261	5190	6557
Carroll__TN	2559	9205	11905
Carter__TN	4529	19584	24492
Cheatham__TN	5514	14438	20260
Chester__TN	1412	5952	7584
Claiborne__TN	2202	10604	12945
Clay__TN	735	2733	3506
Cocke__TN	2533	12162	14859
Coffee__TN	5705	17883	24282
Crockett__TN	1382	4673	6114
Cumberland__TN	6728	25168	32279
Davidson__TN	199703	100218	309658
Decatur__TN	904	4229	5241
DeKalb__TN	1750	6672	8513
Dickson__TN	6106	17643	24233
Dyer__TN	3158	11768	15079
Fayette__TN	7027	15690	22984
Fentress__TN	1214	7441	8729
Franklin__TN	4864	13987	19132
Gibson__TN	5771	16259	22335
Giles__TN	3298	9784	13203
Grainger__TN	1467	8565	10134
Greene__TN	5199	22259	28087
Grundy__TN	988	4802	5855
Hamblen__TN	5500	18811	24631
Hamilton__TN	75522	92108	171113
Hancock__TN	362	2372	2744
Hardeman__TN	4180	5760	10063
Hardin__TN	1775	9559	11538
Hawkins__TN	4083	20405	24824
Haywood__TN	4012	3343	7439
Henderson__TN	2092	9797	12020
Henry__TN	3548	11239	15047
Hickman__TN	2130	7577	9832
Houston__TN	871	2718	3686
Humphreys__TN	2017	6120	8236
Jackson__TN	1135	4118	5323
Jefferson__TN	4654	18651	23616
Johnson__TN	1246	6468	7801
Knox__TN	91422	124540	220556
Lake__TN	526	1492	2034
Lauderdale__TN	3193	5674	8965
Lawrence__TN	3195	15334	18718
Lewis__TN	1072	4474	5609
Lincoln__TN	2919	12281	15608
Loudon__TN	6948	21713	29347
Macon__TN	1307	8096	9487
Madison__TN	18390	23943	42950
Marion__TN	3177	9911	13256
Marshall__TN	3605	11043	14878
Maury__TN	14418	31464	46657
McMinn__TN	4361	18198	22844
McNairy__TN	1943	9093	11275
Meigs__TN	1008	4467	5532
Monroe__TN	3764	16783	20797
Montgomery__TN	32472	42187	76758
Moore__TN	573	2888	3539
Morgan__TN	1167	6930	8228
Obion__TN	2589	10790	13521
Overton__TN	2033	7918	10037
Perry__TN	615	2775	3428
Pickett__TN	525	2381	2931
Polk__TN	1492	6792	8360
Putnam__TN	9185	23759	33593
Rhea__TN	2369	11050	13637
Roane__TN	6043	19230	25917
Robertson__TN	8692	24536	33717
Rutherford__TN	59341	81480	143878
Scott__TN	986	8004	9052
Sequatchie__TN	1298	5855	7252
Sevier__TN	8721	33783	43535
Shelby__TN	246105	129815	382055
Smith__TN	1802	7136	9051
Stewart__TN	1232	4950	6296
Sullivan__TN	17272	55860	74357
Sumner__TN	27680	63454	92630
Tipton__TN	6837	20070	27308
Trousdale__TN	1012	2936	3998
Unicoi__TN	1615	6599	8307
Union__TN	1249	6803	8123
Van_Buren__TN	544	2342	2921
Warren__TN	3924	11850	16009
Washington__TN	18638	40444	60203
Wayne__TN	820	5795	6669
Weakley__TN	3020	10396	13735
White__TN	2143	9606	11895
Williamson__TN	50161	86469	139016
Wilson__TN	22254	50296	74330
Addison__VT	14967	6292	22212
Bennington__VT	12705	7114	20640
Caledonia__VT	9011	6551	16334
Chittenden__VT	74961	21017	99859
Essex__VT	1405	1773	3317
Franklin__VT	13611	11274	26084
Grand_Isle__VT	2905	1810	4912
Lamoille__VT	10240	4163	15092
Orange__VT	10304	6187	17327
Orleans__VT	7147	6512	14215
Rutland__VT	18230	14672	34292
Washington__VT	25191	8928	35695
Windham__VT	18767	6440	26278
Windsor__VT	23376	9971	34711
Barnstable__MA	91994	55311	151512
Berkshire__MA	51705	18064	71771
Bristol__MA	153377	119872	281364
Dukes__MA	9914	2631	12873
Essex__MA	267198	144837	424599
Franklin__MA	30030	11201	43003
Hampden__MA	125948	87318	220793
Hampshire__MA	63362	22281	88332
Middlesex__MA	617196	226956	869347
Nantucket__MA	5241	1914	7338
Norfolk__MA	273312	125294	411042
Plymouth__MA	173630	121227	303870
Suffolk__MA	270522	58613	337240
Worcester__MA	248773	171683	434921
Allegany__MD	9158	20886	30641
Anne_Arundel__MD	172823	127821	309617
Baltimore_City__MD	207260	25374	237461
Baltimore_County__MD	258409	146202	414932
Calvert__MD	22587	25346	49112
Caroline__MD	5095	10283	15794
Carroll__MD	36456	60218	100327
Cecil__MD	16809	29439	47462
Charles__MD	62171	25579	89498
Dorchester__MD	6857	8764	15977
Frederick__MD	77675	63682	145615
Garrett__MD	3281	12002	15611
Harford__MD	63095	80930	148186
Howard__MD	129433	48390	183062
Kent__MD	5329	5195	10794
Montgomery__MD	419569	101222	533743
Prince_George_s__MD	379208	37090	424855
Queen_Anne_s__MD	10709	18741	30290
Somerset__MD	4241	5739	10147
St_Mary_s__MD	23138	30826	55665
Talbot__MD	11062	10946	22555
Washington__MD	26044	40224	67779
Wicomico__MD	22054	22944	46216
Worcester__MD	12560	18571	31691
Kalawao__HI	23	1	24
Hawaii__HI	58731	26897	87814
Honolulu__HI	238869	136259	382114
Kauai__HI	21225	11582	33497
Maui__HI	47305	22126	71044
Alameda__CA	617659	136309	773753
Alpine__CA	476	244	741
Amador__CA	8153	13585	22397
Butte__CA	50815	48819	102565
Calaveras__CA	10046	16518	27272
Colusa__CA	3239	4559	7961
Contra_Costa__CA	416386	152877	581316
Del_Norte__CA	4677	6461	11453
El_Dorado__CA	51621	61838	116159
Fresno__CA	193025	164464	364917
Glenn__CA	3995	7063	11297
Humboldt__CA	44768	21770	69424
Imperial__CA	34678	20847	56743
Inyo__CA	4634	4620	9484
Kern__CA	133366	164484	305292
Kings__CA	18699	24072	43861
Lake__CA	14941	13123	28986
Lassen__CA	2799	8970	12045
Los_Angeles__CA	3028885	1145530	4264365
Madera__CA	23168	29378	53732
Marin__CA	128288	24612	155830
Mariposa__CA	4088	5950	10280
Mendocino__CA	28782	13267	43340
Merced__CA	48991	39397	90993
Modoc__CA	1150	3109	4367
Mono__CA	4013	2513	6738
Monterey__CA	113953	46299	163923
Napa__CA	49817	20676	72150
Nevada__CA	36359	26779	65202
Orange__CA	814009	676498	1522113
Placer__CA	106869	122488	235084
Plumas__CA	4561	6445	11260
Riverside__CA	528340	449144	997156
Sacramento__CA	440808	259405	718440
San_Benito__CA	17628	10590	28830
San_Bernardino__CA	455859	366257	841130
San_Diego__CA	964650	600094	1602143
San_Francisco__CA	378156	56417	443553
San_Joaquin__CA	161137	121098	289781
San_Luis_Obispo__CA	88310	67436	159714
San_Mateo__CA	291496	75584	374251
Santa_Barbara__CA	129963	65736	201432
Santa_Clara__CA	617967	214612	850741
Santa_Cruz__CA	114246	26937	145649
Shasta__CA	30000	60789	92930
Sierra__CA	730	1142	1947
Siskiyou__CA	9593	13290	23472
Solano__CA	131639	69306	206831
Sonoma__CA	199938	61825	268317
Stanislaus__CA	105841	104145	215987
Sutter__CA	17367	24375	42644
Tehama__CA	8911	19141	28731
Trinity__CA	2851	3188	6330
Tulare__CA	66105	77579	146885
Tuolumne__CA	11978	17689	30408
Ventura__CA	251388	162207	422825
Yolo__CA	67598	27292	97294
Yuba__CA	11230	17676	29796
Albany__NY	99474	51081	153586
Allegany__NY	6048	14135	20716
Broome__NY	47002	43791	92775
Cattaraugus__NY	11879	22155	34760
Cayuga__NY	16359	19632	36754
Chautauqua__NY	23088	34853	59196
Chemung__NY	16636	21922	39410
Chenango__NY	8300	13496	22306
Clinton__NY	18364	16514	35437
Columbia__NY	20386	14464	35522
Cortland__NY	10370	10789	21679
Delaware__NY	9143	13387	22971
Dutchess__NY	81443	66872	150745
Erie__NY	267270	197552	473418
Essex__NY	9950	8982	19280
Franklin__NY	9253	9668	19268
Fulton__NY	7931	15378	23718
Genesee__NY	9625	18876	29217
Greene__NY	10346	14271	25137
Hamilton__NY	1178	2225	3460
Herkimer__NY	9939	18871	29322
Jefferson__NY	17307	25629	43855
Lewis__NY	3823	8890	12939
Livingston__NY	12477	18182	31401
Madison__NY	14805	18409	34035
Monroe__NY	225746	145661	379864
Montgomery__NY	7977	12745	21134
Nassau__NY	396504	326716	730983
Niagara__NY	46029	56068	104123
Oneida__NY	41973	57860	101858
Onondaga__NY	138991	91715	236068
Ontario__NY	28749	28782	59142
Orange__NY	84955	85068	172539
Orleans__NY	5587	12126	18154
Oswego__NY	21145	32142	54498
Otsego__NY	12975	14382	28010
Putnam__NY	24955	29283	54991
Rensselaer__NY	40969	36500	79286
Rockland__NY	75802	73186	150369
St__Lawrence__NY	19361	24608	44800
Saratoga__NY	68471	61305	132655
Schenectady__NY	42465	30741	74862
Schoharie__NY	5345	9903	15685
Schuyler__NY	3903	5621	9740
Seneca__NY	6914	8329	15608
Steuben__NY	15790	29474	46179
Suffolk__NY	381021	381253	771751
Sullivan__NY	15489	18665	34647
Tioga__NY	9634	14791	25036
Tompkins__NY	33619	11096	45735
Ulster__NY	57970	37590	97420
Warren__NY	17642	17699	36149
Washington__NY	11565	15941	28101
Wayne__NY	17456	26204	44727
Westchester__NY	312437	144731	462364
Wyoming__NY	5073	13898	19399
Yates__NY	4219	6208	10701
Bronx__NY	355374	67740	425883
Kings__NY	703310	202772	913690
New_York__NY	603040	85185	695263
Queens__NY	569038	212665	788262
Richmond__NY	90997	123320	216278
Bristol__RI	18050	9745	28415
Kent__RI	49113	42001	93093
Newport__RI	29486	15722	46148
Providence__RI	165012	102551	272667
Washington__RI	44549	29818	76060
Federal_Precinct__RI	1276	85	1374
Fairfield__CT	297505	169039	472990
Hartford__CT	283368	159024	449336
Litchfield__CT	50164	55601	107544
Middlesex__CT	56848	40665	99203
New_Haven__CT	242630	169893	417983
New_London__CT	79459	57110	139604
Tolland__CT	44151	34838	80714
Windham__CT	26706	29141	57082
Adams__WA	1814	3907	5862
Asotin__WA	4250	7319	11951
Benton__WA	38706	60365	103033
Chelan__WA	19349	22746	43306
Clallam__WA	24721	23062	49264
Clark__WA	140324	126303	275403
Columbia__WA	668	1754	2495
Cowlitz__WA	23938	34424	60280
Douglas__WA	7811	12955	21308
Ferry__WA	1486	2771	4367
Franklin__WA	13340	18039	32404
Garfield__WA	366	1069	1489
Grant__WA	11819	24764	37680
Grays_Harbor__WA	17354	19877	38441
Island__WA	29213	22746	53925
Jefferson__WA	17204	6931	24792
King__WA	907310	269167	1210507
Kitsap__WA	90277	61563	158672
Kittitas__WA	11421	14105	26364
Klickitat__WA	5959	7237	13560
Lewis__WA	14520	29391	45309
Lincoln__WA	1713	5150	7033
Mason__WA	17269	18710	37303
Okanogan__WA	8900	11840	21282
Pacific__WA	6794	6953	14064
Pend_Oreille__WA	2593	5728	8553
Pierce__WA	249506	197730	464081
San_Juan__WA	9725	3057	13197
Skagit__WA	38252	32762	73423
Skamania__WA	3192	3885	7312
Snohomish__WA	256728	166428	438796
Spokane__WA	135765	148576	295430
Stevens__WA	7839	19808	28430
Thurston__WA	96608	65277	168134
Wahkiakum__WA	1165	1741	2981
Walla_Walla__WA	13690	16400	31261
Whatcom__WA	83660	50489	138620
Whitman__WA	11184	9067	21126
Yakima__WA	43179	50555	96193
Kent__DE	44552	41009	87025
New_Castle__DE	195034	88364	287633
Sussex__DE	56682	71230	129352
Baker__OR	2346	7352	9932
Benton__OR	35827	14878	52799
Clackamas__OR	139043	110509	257679
Clatsop__OR	12916	10218	23910
Columbia__OR	13835	17150	32221
Coos__OR	14243	21829	37075
Crook__OR	3801	11287	15448
Curry__OR	6058	8484	14925
Deschutes__OR	65962	55646	125234
Douglas__OR	19160	43298	64349
Gilliam__OR	324	834	1178
Grant__OR	929	3545	4596
Harney__OR	894	3475	4481
Hood_River__OR	8764	3955	13090
Jackson__OR	59478	63869	127165
Jefferson__OR	4393	7189	11913
Josephine__OR	18451	31751	51641
Klamath__OR	10388	25308	36726
Lake__OR	792	3470	4363
Lane__OR	134366	80336	222253
Lincoln__OR	17385	12460	30726
Linn__OR	26512	43486	72640
Malheur__OR	3260	8187	11804
Marion__OR	80872	79002	165534
Morrow__OR	1371	3586	5118
Multnomah__OR	367249	82995	463659
Polk__OR	22917	23732	48291
Sherman__OR	260	921	1208
Tillamook__OR	8066	8354	16888
Umatilla__OR	10707	21270	33038
Union__OR	4254	10298	14944
Wallowa__OR	1625	3404	5149
Wasco__OR	6604	7035	14130
Washington__OR	209940	99073	320326
Wheeler__OR	217	711	965
Yamhill__OR	27174	29551	58923
Atlantic__NJ	73808	64438	140441
Bergen__NJ	285967	204417	497838
Burlington__NJ	154595	103345	262650
Camden__NJ	175065	86207	265599
Cape_May__NJ	23941	33158	57933
Cumberland__NJ	32742	28952	62575
Essex__NJ	266820	75475	345311
Gloucester__NJ	86702	83340	173453
Hudson__NJ	181452	65698	250458
Hunterdon__NJ	39457	43153	84673
Mercer__NJ	122532	51641	177223
