_PARTIES	Democratic	Republican	Independent	Total
_COLORS	Blue	Red	Yellow
Alabama	752087	546504	0	1298591
Alaska	112879	40209	0	220177
Arizona	361552	620188	0	1017616
Arkansas	272923	421989	0	706011
California	4860702	3218030	0	8621142
Colorado	639905	648202	0	1321307
Connecticut	354187	628707	0	999535
Florida	1773054	2191105	0	3964441
Georgia	941076	790201	0	1792808
Hawaii	204206	198952	0	407556
Idaho	110815	258095	0	381248
Illinois	1594191	1714094	0	3358705
Iowa	500231	444787	0	956415
Kansas	168243	544882	0	742665
Maine	50506	79716	246772	421009
Maryland	846972	688357	0	1535978
Massachusetts	901843	967160	0	1903336
Michigan	1143574	1883005	0	3027104
Minnesota	587528	717350	773713	2091766
Nebraska	250678	293910	0	545238
Nevada	182281	223892	0	433630
New Hampshire	210769	98473	0	318940
New Mexico	226755	271948	0	498703
New York	1570317	2571991	0	4735236
Ohio	1498956	1678721	0	3354213
Oklahoma	357552	505498	0	873585
Oregon	717061	334001	0	1113098
Pennsylvania	938745	1736844	0	3025022
Rhode Island	129105	156180	0	306445
South Carolina	570070	484088	0	1070869
South Dakota	85473	166621	0	260187
Tennessee	287750	669973	0	976236
Texas	1165592	2550821	0	3738078
Vermont	121425	89726	0	218120
Wisconsin	679553	1047716	0	1756014
Wyoming	70754	97235	0	174888
