_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
Delaware	188300	82654	270954
Indiana	1087128	986982	2109915
Missouri	1224801	866268	2142518
Montana	84407	320768	405175
New Hampshire	284175	196321	497040
North Carolina	1436638	1097053	2566042
North Dakota	89349	174937	264286
Utah	156616	503693	671879
Vermont	179544	57161	254648
Washington	1296492	940538	2237030
West Virginia	287870	324518	628559
