_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	669105	672225	1367053
Alaska	94216	129279	231484
Arizona	566284	554465	1226111
Arkansas	378250	427082	805542
California	3533490	3169801	7476351
Colorado	475373	884583	1412602
Connecticut	448984	573958	1022998
Florida	2201427	2856845	5100581
Georgia	937062	1041677	2025861
Hawaii	179647	197009	382110
Idaho	171711	231566	411477
Illinois	1847040	1594961	3538891
Iowa	540449	456612	1025802
Kansas	441858	376830	835692
Maine	238179	209496	505190
Maryland	813422	879592	1706179
Massachusetts	985981	1091988	2194179
Michigan	1633796	1506104	3177565
Minnesota	821268	999473	2252473
Nebraska	132348	330349	480991
Nevada	110935	344001	504079
New Hampshire	169277	259663	442976
New Mexico	268693	189074	484233
New York	1534064	2262255	4579078
Ohio	1236924	1865007	3228992
Oklahoma	448143	441277	1035620
Oregon	618004	581785	1260497
Pennsylvania	1913235	1589408	3581989
Rhode Island	150229	181827	332056
South Carolina	521140	585422	1107725
South Dakota	140263	189920	334559
Tennessee	837284	786803	1653167
Texas	1819798	2632591	4553987
Vermont	97565	103436	230161
Wisconsin	800515	734779	1775349
Wyoming	92662	88873	185459
