_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Delaware	266851	126662	395204
Indiana	1082463	1563885	2703751
Missouri	1680611	1136364	2877778
Montana	318670	158268	486734
New Hampshire	479042	188555	682910
North Carolina	2146189	2001168	4268941
North Dakota	74279	235009	315692
Utah	186503	735049	945525
Vermont	121953	171744	311792
Washington	1598738	1404124	3002862
West Virginia	492697	181612	705795
