_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	694495	1022457	1719589
Alaska	125739	145631	283134
Arizona	994341	1330863	2376441
Arkansas	283218	582406	891509
California	7721410	4742825	12464235
Colorado	1348888	1080801	2525062
Connecticut	694510	650138	1406803
Florida	4043723	4076186	8220561
Georgia	1923685	1978408	3939409
Hawaii	244934	131719	390843
Idaho	231081	361661	605131
Illinois	2479746	1765751	4547657
Iowa	630986	667275	1327638
Kansas	506727	453645	1055566
Maine	320962	272311	630667
Maryland	1002639	1275644	2304512
Massachusetts	885770	1781341	2674615
Michigan	2266193	1859534	4250585
Minnesota	1393096	1097705	2587287
Nebraska	286169	411812	697981
Nevada	480007	440320	971799
New Hampshire	262359	302764	573602
New Mexico	398368	298091	696459
New York	3635340	2207602	6097362
Ohio	2070046	2235825	4429582
Oklahoma	500973	644579	1186385
Oregon	934498	814988	1866997
Pennsylvania	2895652	2039882	5012555
Rhode Island	198122	139932	376401
South Carolina	784182	921342	1707569
South Dakota	161454	172912	339214
Tennessee	864863	1336106	2243294
Texas	3546615	4656196	8343443
Vermont	110335	151261	274087
Wisconsin	1324307	1295080	2673308
Wyoming	55965	136412	203238
