_PARTIES	Democratic	Republican	Independent	Total
_COLORS	Blue	Red	Yellow
Alabama	625710	860472	0	1486182
Alaska	96519	151318	0	256192
Arizona	733935	938934	0	1728081
Arkansas	503336	262784	0	781333
California	5428149	4127391	0	10095185
Colorado	915436	199792	652376	1793148
Connecticut	567278	560874	0	1145799
Florida	2557785	2619335	0	5359735
Georgia	1107011	1365832	0	2576161
Hawaii	222724	157311	0	380035
Idaho	148680	267483	0	452535
Illinois	1745219	1713385	0	3729746
Iowa	484798	592494	0	1122013
Kansas	270166	530760	0	838790
Maine	109387	218065	208270	580538
Maryland	1044961	776319	0	1857880
Massachusetts	1112283	964866	0	2297039
Michigan	1287320	1874834	0	3226088
Minnesota	919232	910462	0	2106979
Nebraska	127343	360645	0	487988
Nevada	298171	382350	0	716529
New Hampshire	240346	205616	0	456588
New Mexico	280614	321219	0	602832
New York	2910876	1547857	0	4769741
Ohio	1812059	1889186	0	3852469
Oklahoma	409261	625506	0	1034767
Oregon	716525	694287	0	1453548
Pennsylvania	1814788	2172763	0	3987551
Rhode Island	78896	114911	123571	342290
South Carolina	630534	690525	0	1344198
South Dakota	122037	195046	0	317083
Tennessee	529851	1041545	0	1601567
Texas	2106395	2737481	0	4979870
Utah	205246	412151	0	643306
Vermont	119543	115212	0	241605
Wisconsin	1004303	1128941	0	2158974
Wyoming	43240	123780	0	190822
