_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	729547	1318255	2123372
Alaska	116454	163387	318608
Arizona	1161167	1252401	2573165
Arkansas	380494	684872	1130676
California	8753788	4483810	14181595
Colorado	1338870	1202484	2780247
Connecticut	897572	673215	1644920
Delaware	235603	185127	443814
District of Columbia	282830	12723	311268
Florida	4504975	4617886	9420039
Georgia	1877963	2089104	4114732
Hawaii	266891	128847	428937
Idaho	189765	409055	690255
Illinois	3090729	2146015	5536424
Indiana	1033126	1557286	2734958
Iowa	653669	800983	1566031
Kansas	427005	671018	1184402
Kentucky	628854	1202971	1924149
Louisiana	780154	1178638	2029032
Maine	357735	335593	747927
Maryland	1677928	943169	2781446
Massachusetts	1995196	1090893	3325046
Michigan	2268839	2279543	4799284
Minnesota	1367716	1322951	2944813
Mississippi	485131	700714	1209357
Missouri	1071068	1594511	2808605
Montana	177709	279240	497147
Nebraska	284494	495961	844227
Nevada	539260	512058	1125385
New Hampshire	348526	345790	744296
New Jersey	2148278	1601933	3874046
New Mexico	385234	319667	798319
New York	4556124	2819534	7721453
North Carolina	2189316	2362631	4741564
North Dakota	93758	216794	344360
Ohio	2394164	2841005	5496487
Oklahoma	420375	949136	1452992
Oregon	1002106	782403	2001336
Pennsylvania	2926441	2970733	6165478
Rhode Island	252525	180543	464144
South Carolina	855373	1155389	2103027
South Dakota	117458	227721	370093
Tennessee	870695	1522925	2508027
Texas	3877868	4685047	8969226
Utah	310676	515231	1131430
Vermont	178573	95369	315067
Virginia	1981473	1769443	3984631
Washington	1742718	1221747	3317019
West Virginia	188794	489371	714423
Wisconsin	1382536	1405284	2976150
Wyoming	55973	174419	255849
