_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	256923	728701	1006093
Alaska	32967	55349	95219
Arizona	198540	402812	653505
Arkansas	198899	445751	647666
California	3475847	4602096	8367862
Colorado	329980	597189	953884
Connecticut	555498	810763	1384277
Delaware	92283	140357	235516
District of Columbia	127627	35226	163421
Florida	718117	1857759	2583283
Georgia	289529	881496	1174772
Hawaii	101409	168865	270274
Idaho	80826	199384	310379
Illinois	1913472	2788179	4723236
Indiana	708568	1405154	2125529
Iowa	496206	706207	1225944
Kansas	270287	619812	916095
Kentucky	371159	676446	1067499
Louisiana	298142	686852	1051491
Maine	160584	256458	417271
Maryland	505781	829305	1353812
Massachusetts	1332540	1112078	2458756
Michigan	1459435	1961721	3490325
Minnesota	802346	898269	1741652
Mississippi	126782	505125	645963
Missouri	698531	1154058	1852589
Montana	120197	183976	317603
Nebraska	169991	406298	576289
Nevada	66016	115750	181766
New Hampshire	116435	213724	334055
New Jersey	1102211	1845502	2997229
New Mexico	141084	235606	385931
New York	2951084	4192778	7161830
North Carolina	438705	1054889	1518612
North Dakota	100384	174109	280514
Ohio	1558889	2441827	4094787
Oklahoma	247147	759025	1029900
Oregon	392760	486686	927946
Pennsylvania	1796951	2714521	4592105
Rhode Island	194645	220383	415808
South Carolina	189270	478427	677880
South Dakota	139945	166476	307415
Tennessee	357293	813147	1201182
Texas	1154291	2298896	3472714
Utah	126284	323643	478476
Vermont	68174	117149	186947
Virginia	438887	988493	1457019
Washington	568334	837135	1470847
West Virginia	277435	484964	762399
Wisconsin	810174	989430	1852890
Wyoming	44358	100464	145570
