_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	690080	804283	1688060
Alaska	78294	102000	258506
Arizona	543050	572086	1487006
Arkansas	505823	337324	950653
California	5121325	3630574	11131721
Colorado	629681	562850	1569180
Connecticut	682318	578313	1616332
Delaware	126054	102313	289620
District of Columbia	192619	20698	227572
Florida	2072698	2173310	5314392
Georgia	1008966	995252	2321133
Hawaii	179310	136822	372842
Idaho	137013	202645	482114
Illinois	2453350	1734096	5050157
Indiana	848420	989375	2305871
Iowa	586353	504891	1354607
Kansas	390434	449951	1157256
Kentucky	665104	617178	1492900
Louisiana	815971	733386	1790017
Maine	263420	206504	679499
Maryland	988571	707094	1985046
Massachusetts	1318662	805049	2773574
Michigan	1871182	1554940	4274673
Minnesota	1020997	747841	2347948
Mississippi	400258	487793	981793
Missouri	1053873	811159	2391270
Montana	154507	144207	410583
Nebraska	217344	344346	739283
Nevada	189148	175828	506318
New Hampshire	209040	202484	537215
New Jersey	1436206	1356865	3343594
New Mexico	261617	212824	569986
New York	3444450	2346649	6926925
North Carolina	1114042	1134661	2611850
North Dakota	99168	136244	308133
Ohio	1984942	1894310	4939964
Oklahoma	473066	592929	1390359
Oregon	621314	475757	1462643
Pennsylvania	2239164	1791841	4959810
Rhode Island	213299	131601	453477
South Carolina	479514	577507	1202527
South Dakota	124888	136718	336254
Tennessee	933521	841300	1982638
Texas	2281815	2496071	6154018
Utah	183429	322632	743998
Vermont	133592	88122	289701
Virginia	1038650	1150517	2558665
Washington	993037	731234	2287565
West Virginia	331001	241974	683677
Wisconsin	1041066	930855	2531114
Wyoming	68160	79347	199884
