_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
Delaware	292903	190312	492635
Indiana	968106	1706739	3020414
Missouri	1225771	1720202	3012287
Montana	250860	328548	603587
New Hampshire	264639	516609	793260
North Carolina	2834790	2586605	5502778
North Dakota	90789	235479	357659
Utah	442754	918754	1458878
Vermont	99214	248412	362711
Washington	2294243	1749066	4056454
West Virginia	237024	497944	784287
