_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
Delaware	191695	128603	323569
Indiana	1232525	908285	2179268
Missouri	1152752	1131307	2346830
Montana	193131	209135	410192
New Hampshire	275038	246952	564340
North Carolina	1530324	1360960	2942062
North Dakota	130144	159255	289412
Utah	321979	424837	761806
Vermont	148059	111359	293473
Washington	1441973	980060	2469852
West Virginia	324822	305926	648047
