_PARTIES	Democrat	Republican	Total
_COLORS	Blue	Red
Delaware	185548	167008	364759
Indiana	1113900	1302912	2448498
Missouri	1301442	1382419	2719538
Montana	225016	205313	446146
New Hampshire	340299	325981	667020
North Carolina	1939154	1495021	3486688
North Dakota	84877	220803	309873
Utah	380359	531190	919960
Vermont	117327	181540	309285
Washington	1373361	1373228	2810053
West Virginia	472758	253131	744433
