_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	549506	815576	1378476
Alaska	72584	119251	200116
Arizona	454029	702541	1171873
Arkansas	349237	466578	827738
California	4702233	5054917	9887064
Colorado	621453	728177	1372394
Connecticut	676584	750241	1443394
Delaware	108647	139639	249891
District of Columbia	159407	27590	192877
Florida	1656701	2618885	4302313
Georgia	714792	1081331	1809672
Hawaii	192364	158625	354461
Idaho	147272	253881	408968
Illinois	2215940	2310939	4559120
Indiana	860643	1297763	2168621
Iowa	670557	545355	1225614
Kansas	422636	554049	993044
Kentucky	580368	734281	1322517
Louisiana	734281	883702	1628202
Maine	243569	307131	555035
Maryland	826304	876167	1714358
Massachusetts	1401406	1194644	2632805
Michigan	1675783	1965486	3669163
Minnesota	1109471	962337	2096790
Mississippi	363921	557890	931527
Missouri	1001619	1084953	2093228
Montana	168936	190412	365674
Nebraska	259646	398447	662372
Nevada	132738	206040	350067
New Hampshire	163696	281537	450525
New Jersey	1320352	1743192	3099553
New Mexico	244497	270341	521287
New York	3347882	3081871	6485683
North Carolina	890167	1237258	2134370
North Dakota	127739	166559	297261
Ohio	1939629	2416549	4393699
Oklahoma	483423	678367	1171036
Oregon	616206	560126	1201694
Pennsylvania	2194944	2300087	4536251
Rhode Island	225123	177761	404620
South Carolina	370554	606443	986009
South Dakota	145560	165415	312991
Tennessee	679794	947233	1636250
Texas	2352748	3036829	5427410
Utah	207343	428442	647008
Vermont	115775	124331	243333
Virginia	859799	1309162	2191609
Washington	933516	903835	1865253
West Virginia	341016	310065	653311
Wisconsin	1126794	1047499	2191608
Wyoming	67113	106867	176551
