_PARTIES	Democratic	Republican	Total
_COLORS	Blue	Red
Alabama	659170	504070	1182850
Alaska	44058	71555	123574
Arizona	295602	418642	742719
Arkansas	499614	268753	769396
California	3742284	3882244	7867117
Colorado	460353	584367	1081135
Connecticut	647895	719261	1381526
Delaware	122596	109831	235834
District of Columbia	137818	27873	168830
Florida	1636000	1469531	3150631
Georgia	979409	483743	1467458
Hawaii	147375	140003	291301
Idaho	126549	204151	340932
Illinois	2271295	2364269	4718833
Indiana	1014714	1183958	2220362
Iowa	619931	632863	1279306
Kansas	430421	502752	957845
Kentucky	615717	531852	1167142
Louisiana	661365	587446	1278439
Maine	232279	236320	483208
Maryland	759612	672661	1432273
Massachusetts	1429475	1030276	2547557
Michigan	1696714	1893742	3653749
Minnesota	1070440	819395	1949931
Mississippi	381309	366846	769360
Missouri	998387	927443	1953600
Montana	149259	173703	328734
Nebraska	233692	359705	607668
Nevada	92479	101273	201876
New Hampshire	147635	185935	339618
New Jersey	1444653	1509688	3014472
New Mexico	201148	211419	416590
New York	3389558	3100791	6525225
North Carolina	927365	741960	1677906
North Dakota	136078	153470	297094
Ohio	2011621	2000505	4111873
Oklahoma	532442	545708	1092251
Oregon	490407	492120	1029876
Pennsylvania	2328677	2205604	4620787
Rhode Island	227636	181249	411170
South Carolina	450825	346140	802594
South Dakota	147068	151505	300678
Tennessee	825879	633969	1476346
Texas	2082319	1953300	4071884
Utah	182110	337908	541198
Vermont	81044	102085	187855
Virginia	813896	836554	1697094
Washington	717323	777732	1555534
West Virginia	435914	314760	750674
Wisconsin	1040232	1004987	2101336
Wyoming	62239	92717	156343
