State	Democratic/Blue	Republican/Red	Total
Alabama	636730	654192	1341929
Alaska	41842	86112	158445
Arizona	246843	529688	873945
Arkansas	398041	403164	837582
California	3083661	4524858	8587063
Colorado	367973	652264	1184415
Connecticut	541732	677210	1406285
Delaware	105754	111252	235668
District of Columbia	130231	23313	173889
Florida	1419475	2046951	3687026
Georgia	890733	654168	1597467
Hawaii	135879	130112	303287
Idaho	110192	290699	437431
Illinois	1981413	2358049	4749721
Indiana	844197	1255656	2242033
Iowa	508672	676026	1317661
Kansas	326150	566812	979795
Kentucky	616417	635274	1294627
Louisiana	708453	792853	1548591
Maine	220974	238522	523011
Maryland	726161	680606	1540496
Massachusetts	1053802	1057631	2524298
Michigan	1661532	1915225	3909725
Minnesota	954174	873241	2051953
Mississippi	429281	441089	892620
Missouri	931182	1074181	2099824
Montana	118032	206814	363952
Nebraska	166851	419937	640854
Nevada	66666	155017	247885
New Hampshire	108864	221705	383999
New Jersey	1147364	1546557	2975684
New Mexico	167826	250779	456237
New York	2728372	2893831	6201959
North Carolina	875635	915018	1855833
North Dakota	79189	193695	301545
Ohio	1752414	2206545	4283603
Oklahoma	402026	695570	1149708
Oregon	456890	571044	1181516
Pennsylvania	1937540	2261872	4561501
Rhode Island	198342	154793	416072
South Carolina	427560	441207	890083
South Dakota	103855	198343	327703
Tennessee	783051	787761	1617616
Texas	1881147	2510705	4541637
Utah	124266	439687	604222
Vermont	81891	94598	213207
Virginia	752174	989609	1866032
Washington	650193	865244	1742394
West Virginia	367462	334206	737715
Wisconsin	981584	1088845	2273221
Wyoming	49427	110700	176713
